"","PitOpening","PitDiameter","Wthickness","VesselDiameter","TopVesselDiameter","PitFraction","HydraulicDiameter","VesselDensity","VesselFraction","Kmax","CWR","pcd","Tpm"
"1",2.43683333333333,7.31283333333333,1.08333333333333,43.7499867754092,73.8243297493361,73.0023333333333,48.9630036067627,175.467060612344,11.3435,29.7747467022243,0.000578230204655433,622,223.4
"2",2.86483333333333,8.413,1.08333333333333,47.0859912674552,73.8243297493361,73.0023333333333,51.4803204541923,152.985905564881,9.531,30.1688614331857,0.00125111577691732,671.5,226.7
"3",2.43,7.7675,1.347,40.1592762090077,72.813208926801,74.4266666666667,48.5553163961036,177.348855193427,13.5915,29.7747467022243,0.00125111577691732,716,206.4
"4",2.65083333333333,7.95833333333333,1.347,46.8312851930996,72.0559373822251,73.097,50.6649460328741,218.547576126187,10.7393333333333,29.7747467022243,0.000967778524427665,634,215.6
"5",2.65083333333333,8.22216666666667,1.61066666666667,43.4952807010537,72.813208926801,73.0023333333333,51.0726332435332,175.467060612344,17.0478333333333,29.380631971263,0.000578230204655433,634,211.8
"6",2.43,7.049,1.61066666666667,43.2405746266981,71.9290127432455,73.097,48.1476291854445,175.467060612344,17.0478333333333,30.1688614331857,0.000967778524427665,736.5,236.6
"7",2.65083333333333,8.413,1.61066666666667,47.0859912674552,73.9512543883156,71.7673333333333,53.5899500909628,152.985905564881,13.5915,37.6634921528614,0.000578230204655433,610,226.3
"8",2.43683333333333,7.7675,1.67683333333333,39.9045701346522,73.8243297493361,73.097,51.0726332435332,197.948215659807,14.1956666666667,37.6634921528614,0.000631335738296723,610,211.8
"9",2.86483333333333,8.03133333333333,1.67683333333333,43.2405746266981,72.9401335657806,73.097,51.0726332435332,156.749494727047,19.9,37.2693774219001,0.000914672990786375,746,216.8
"10",2.86483333333333,7.50366666666667,1.01716666666667,40.1592762090077,72.9401335657806,73.1916666666667,53.5899500909628,175.467060612344,17.0478333333333,37.2693774219001,0.000914672990786375,598,215.9
"11",2.87166666666667,7.7675,1.08333333333333,39.9045701346522,73.0670582047601,73.1916666666667,51.0726332435332,154.867700145964,16.4436666666667,22.2801159825486,0.000578230204655433,571.5,201
"12",2.43,7.31283333333333,1.347,46.8312851930996,73.0670582047601,73.1916666666667,50.6649460328741,177.348855193427,10.7393333333333,22.2801159825486,0.000631335738296723,596,236.6
"13",2.43,7.7675,1.61066666666667,39.9045701346522,73.6974051103565,70.343,51.4803204541923,197.948215659807,9.531,37.2693774219001,0.000861567457145085,746,216.8
"14",2.87166666666667,8.03133333333333,1.28083333333333,43.7499867754092,73.9512543883156,73.097,51.4803204541923,152.985905564881,9.531,29.7747467022243,0.00125111577691732,622,208
"15",2.43,7.95833333333333,1.28083333333333,40.1592762090077,72.9401335657806,73.0023333333333,53.5899500909628,196.066421078724,11.3435,21.8860012515872,0.00119801024327603,727.5,216.8
"16",2.86483333333333,7.31283333333333,1.9405,43.4952807010537,71.9290127432455,74.616,53.5899500909628,175.467060612344,13.5915,37.6634921528614,0.00125111577691732,709,216.8
"17",2.43,7.50366666666667,1.41316666666667,43.2405746266981,73.8243297493361,74.332,50.6649460328741,154.867700145964,10.1351666666667,29.7747467022243,0.00153445302940697,709,215.3
"18",2.65083333333333,8.413,1.41316666666667,39.9045701346522,72.9401335657806,74.5213333333333,48.5553163961036,151.104110983798,16.4436666666667,45.1581228725372,0.00125111577691732,622,215.3
"19",2.216,7.7675,1.347,43.7499867754092,72.9401335657806,74.5213333333333,48.5553163961036,177.348855193427,17.0478333333333,30.1688614331857,0.000861567457145085,616,219.5
"20",2.87166666666667,7.7675,1.347,43.4952807010537,72.0559373822251,71.7673333333333,53.1822628803037,173.585266031261,13.5915,22.2801159825486,0.00125111577691732,598,230
"21",2.65083333333333,7.7675,1.01716666666667,43.2405746266981,72.9401335657806,74.332,48.9630036067627,151.104110983798,13.5915,37.6634921528614,0.000578230204655433,634,215.6
"22",2.43683333333333,7.50366666666667,1.67683333333333,39.9045701346522,73.6974051103565,71.7673333333333,51.0726332435332,177.348855193427,12.9873333333333,37.6634921528614,0.000861567457145085,604,201
"23",2.65083333333333,7.95833333333333,1.347,40.4139822833633,72.0559373822251,73.1916666666667,51.4803204541923,197.948215659807,17.0478333333333,29.7747467022243,0.000914672990786375,598,206.4
"24",2.644,7.049,1.67683333333333,43.7499867754092,73.9512543883156,73.097,48.9630036067627,196.066421078724,13.5915,37.6634921528614,0.000967778524427665,596,236.6
"25",2.87166666666667,8.22216666666667,1.67683333333333,43.4952807010537,73.8243297493361,74.5213333333333,51.0726332435332,175.467060612344,11.3435,22.2801159825486,0.00119801024327603,675,215.3
"26",2.65766666666667,7.31283333333333,1.61066666666667,40.1592762090077,73.9512543883156,71.6726666666667,51.4803204541923,173.585266031261,14.1956666666667,29.7747467022243,0.000914672990786375,727.5,245
"27",2.86483333333333,7.50366666666667,1.1495,43.7499867754092,72.9401335657806,73.0023333333333,49.3706908174218,173.585266031261,17.0478333333333,21.8860012515872,0.000967778524427665,622,236.6
"28",2.43,7.7675,1.28083333333333,43.4952807010537,73.9512543883156,71.7673333333333,50.6649460328741,197.948215659807,10.7393333333333,21.4918865206259,0.000578230204655433,671.5,223.4
"29",2.65766666666667,7.7675,1.347,43.4952807010537,73.9512543883156,74.5213333333333,48.1476291854445,151.104110983798,19.9,37.2693774219001,0.00119801024327603,712.5,215
"30",2.858,7.50366666666667,1.61066666666667,39.9045701346522,72.9401335657806,74.5213333333333,51.0726332435332,175.467060612344,14.1956666666667,45.1581228725372,0.000914672990786375,716,237.6
