"","PitOpening","PitDiameter","Wthickness","VesselDiameter","TopVesselDiameter","PitFraction","HydraulicDiameter","VesselDensity","VesselFraction","Kmax","CWR","pcd","Tpm"
"1",4.695119,7.10694666666667,5.24560544444444,112.243243226677,184.67517383729,62.177,141.842617089306,19.0838555985063,9.37745454545455,104.744005380742,0.00203967731054161,1116.90322580645,344.535483870968
"2",4.176887,6.49121333333333,4.86755316666667,115.537843006274,184.67517383729,59.318,122.272128620744,19.4955287027624,8.45406060606061,106.723458700796,0.00190629637326129,1104.25806451613,354.354838709677
"3",4.176887,6.05574666666667,4.83185877777778,112.243243226677,178.483018560684,61.9040303030303,129.859919926087,18.4123943454956,8.45406060606061,156.225654934088,0.00188693820637033,1125.96774193548,339.316129032258
"4",4.6378046,6.23601333333333,4.86755316666667,112.243243226677,172.37396097952,67.0760909090909,134.254825783964,19.0838555985063,8.13139393939394,130.484830157415,0.00188693820637033,1241.06451612903,327.103225806452
"5",4.6378046,6.85174666666667,5.20991105555555,105.209545598085,178.399920865241,64.6265454545454,125.46501406821,16.6577987352182,7.85333333333333,102.764552060688,0.00188693820637033,1108.8064516129,334.690322580645
"6",4.6378046,6.49121333333333,5.24560544444444,115.982341075671,178.399920865241,62.0405151515151,125.46501406821,21.2501243130398,8.45406060606061,106.723458700796,0.00205903547743256,1085.41935483871,328.503225806452
"7",4.1195726,6.67148,4.90324755555556,105.209545598085,172.290863284078,64.4900606060606,126.667034478621,17.7409330924849,8.176,156.225654934088,0.0017148409353081,1182,344.264516129032
"8",4.1195726,6.23601333333333,5.24560544444444,112.687741296074,172.37396097952,61.9040303030303,133.052805373552,18.4123943454956,8.77672727272727,132.464283477469,0.00173419910219906,1095.12903225806,342.238709677419
"9",4.176887,6.85174666666667,4.86755316666667,105.209545598085,184.592076141848,62.0405151515151,128.657899515675,17.7409330924849,8.77672727272727,130.484830157415,0.00188693820637033,1076.64516129032,322.683870967742
"10",3.7732838,7.28721333333333,4.56088966666667,108.94864344708,172.207765588635,62.0405151515151,119.079243173279,20.166989955773,9.05478787878788,128.505376837361,0.00190629637326129,1085.16129032258,318.651612903226
"11",3.7159694,6.85174666666667,4.48950088888889,108.504145377682,172.37396097952,59.7274545454545,134.254825783964,18.4123943454956,8.13139393939394,102.764552060688,0.00173419910219906,1140.67741935484,348.883870967742
"12",4.5804902,6.41628,4.56088966666667,112.243243226677,172.457058674963,64.4900606060606,134.254825783964,20.166989955773,7.53066666666667,130.484830157415,0.00186758003947938,1191.96774193548,356.206451612903
"13",4.5804902,7.10694666666667,4.86755316666667,105.209545598085,172.290863284078,62.0405151515151,137.447711231429,15.9863374822075,8.77672727272727,106.723458700796,0.00188693820637033,1070.35483870968,355.129032258065
"14",4.5231758,6.49121333333333,4.48950088888889,105.209545598085,178.483018560684,61.9040303030303,134.254825783964,19.4955287027624,9.37745454545455,156.225654934088,0.00203967731054161,1191.38709677419,348.141935483871
"15",4.2342014,7.72268,4.48950088888889,115.982341075671,178.566116256127,59.4544848484848,133.052805373552,15.9863374822075,8.77672727272727,130.484830157415,0.00186758003947938,1211.1935483871,328.316129032258
"16",4.176887,6.23601333333333,4.52519527777778,115.537843006274,172.37396097952,59.4544848484848,133.052805373552,17.3292599882288,7.85333333333333,130.484830157415,0.00203967731054161,1096.83870967742,343.909677419355
"17",4.6378046,6.05574666666667,5.24560544444444,115.982341075671,184.67517383729,64.6265454545454,137.447711231429,19.4955287027624,7.53066666666667,156.225654934088,0.00173419910219906,1053.67741935484,344.277419354839
"18",4.695119,6.67148,4.90324755555556,105.209545598085,172.37396097952,61.9040303030303,141.842617089306,20.166989955773,8.45406060606061,104.744005380742,0.00190629637326129,1110.48387096774,329.154838709677
"19",4.5804902,7.72268,5.24560544444444,101.470447749091,178.483018560684,59.4544848484848,129.859919926087,18.4123943454956,8.77672727272727,128.505376837361,0.00203967731054161,1148.93548387097,366.006451612903
"20",4.695119,6.05574666666667,4.52519527777778,108.94864344708,172.290863284078,62.177,125.46501406821,19.4955287027624,8.45406060606061,130.484830157415,0.00173419910219906,1046.32258064516,345.716129032258
"21",3.7159694,6.49121333333333,5.20991105555555,115.537843006274,178.483018560684,59.318,137.447711231429,17.3292599882288,8.45406060606061,179.987026390707,0.00203967731054161,1156.70967741935,356.412903225806
"22",4.2342014,6.49121333333333,4.86755316666667,108.94864344708,178.483018560684,61.9040303030303,126.667034478621,20.166989955773,9.05478787878788,132.464283477469,0.00188693820637033,1020.96774193548,337.2
"23",4.2342014,6.67148,4.48950088888889,115.982341075671,178.566116256127,62.177,133.052805373552,17.7409330924849,8.77672727272727,104.744005380742,0.00207839364432352,1189.35483870968,350.438709677419
"24",4.1195726,7.10694666666667,4.48950088888889,108.504145377682,178.483018560684,62.0405151515151,128.657899515675,18.4123943454956,8.45406060606061,130.484830157415,0.00205903547743256,1124.09677419355,345.077419354839
"25",3.3123662,6.67148,4.83185877777778,115.982341075671,184.592076141848,62.0405151515151,134.254825783964,19.0838555985063,8.45406060606061,104.744005380742,0.00190629637326129,1091.12903225806,339.006451612903
"26",3.7732838,7.28721333333333,4.86755316666667,108.94864344708,184.592076141848,67.0760909090909,125.46501406821,17.7409330924849,7.85333333333333,104.744005380742,0.00186758003947938,1099.48387096774,354.503225806452
"27",4.176887,6.85174666666667,4.90324755555556,112.243243226677,178.399920865241,62.0405151515151,129.859919926087,18.4123943454956,8.45406060606061,130.484830157415,0.00203967731054161,1241,364.193548387097
