Psittacanthus robustus_vs_Vochysia thyrsoidea,Phoradendron perrotettii_vs_Tapirira guianensis,Struthanthus rhynchophyllus_vs_Tipuana tipu,Viscum album_vs_Populus nigra
-0.419522222222222,-0.0490388888888891,-0.626994444444444,
0.0866277777777778,0.0532888888888889,-0.153077777777778,0
0.334222222222222,-0.0532888888888889,-0.597455555555555,0
0.094811111111111,-0.168355555555556,0.312611111111111,0
-0.239411111111111,0.281355555555555,-0.181838888888889,0
-0.00859444444444435,-0.0744277777777778,0.364455555555556,0
0.19585,0,0.1657,0
-0.19585,0.0669555555555559,-0.0295388888888892,0
0.00818333333333321,0.225216666666667,-0.0259222222222224,0
0.221716666666667,0.141383333333333,0.0472333333333337,0
-0.931488888888889,0.0230944444444448,0.00361666666666682,0
-0.299761111111111,0.0971500000000001,-0.156694444444444,0
-0.204938888888889,0.0613166666666669,0.445155555555556,0
0.0353888888888885,-0.135166666666667,-0.00801111111111119,0
0.231227777777778,0.115644444444444,-0.00361666666666638,0
-0.0771166666666669,0.0897000000000001,-0.136161111111111,0
0.264372222222222,0.296627777777778,-0.105844444444445,0
0.19585,-0.0506444444444445,0.059077777777778,0
-0.246677777777778,-0.191655555555556,0.720316666666666,0
0.0426444444444449,-0.483477777777778,-0.453383333333333,0
0.0780333333333334,-0.177988888888889,0,0
-0.0862166666666666,-0.291822222222222,0.313605555555556,0
-0.256188888888889,-0.00160555555555586,-0.339311111111111,0
-0.282066666666667,-0.315122222222222,-0.292077777777778,0
0.470361111111111,0.378505555555555,0.129994444444444,0
0.189211111111111,0.289177777777778,0.0287611111111108,0
-0.435888888888889,-0.325216666666667,-0.351155555555555,0
-0.359183333333333,0.273905555555556,-0.606461111111111,0
-0.589083333333333,-0.104972222222222,-0.499061111111111,0
-0.342405555555556,0.133561111111111,-0.172833333333333,0
-0.00951111111111125,0.166288888888889,-0.127155555555555,0
-0.282066666666666,-0.0945055555555556,-0.025922222222222,0
-0.0676055555555557,0,-0.1657,0
0.111177777777778,0.0717833333333333,-0.0518444444444448,0
0.291566666666667,-0.171577777777778,0.306155555555555,0
0.0698499999999998,0.244944444444444,-0.317222222222222,0
0,-0.296627777777778,0.0205333333333333,0
-0.0176944444444445,0.0695999999999999,0.445155555555556,0
0.0685222222222222,-0.238533333333334,0.185455555555555,0
-0.264372222222222,-0.317766666666667,-0.4569,0
0.0685222222222222,0.0275500000000002,-0.295694444444445,0
-0.0530722222222222,-0.480833333333333,0.109461111111111,0
-0.6662,0.0864777777777777,-0.266155555555556,0
0.28115,0.0971500000000001,0.00283888888888884,0
-0.0603388888888889,0.0870555555555557,-0.0723777777777777,0
