"species","pitavg","pcavg","peavg","pcd","PitOpening","PitDiameter"
"Phoradendron perrotettii",0,0,0,1,2,3
"Psittacanthus robustus",0,0,0,0,0,6
"Struthanthus rhynchophyllus",0,0,0,0,1,2
"Tapirira guianensis",0,0,0,0,7,1
"Tipuana tipu",0,0,0,0,1,2
"Viscum album",3,1,2,0,2,4
"Vochysia thyrsoidea",0,0,2,0,1,1
