"species","wthickness"
"Phoradendron perrotettii",2
"Psittacanthus robustus",1
"Struthanthus rhynchophyllus",3
"Tapirira guianensis",6
"Tipuana tipu",5
"Viscum album",2
"Vochysia thyrsoidea",6
