"Species","Outliers_Removed"
"Phoradendron perrotettii",0
"Psittacanthus robustus",0
"Struthanthus rhynchophyllus",0
"Tapirira guianensis",5
"Tipuana tipu",4
"Viscum album",7
"Vochysia thyrsoidea",0
"Phoradendeon perrotettii",0
