ssp,indiv,Label,Area,Circ.,%Area,AR,Round,Solidity
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,1256.397,0.738,99.111,2.077,0.482,0.971
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,1063.678,0.809,99.417,1.264,0.791,0.96
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,1194.363,0.821,98.892,1.277,0.783,0.961
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,826.708,0.625,98.549,2.258,0.443,0.942
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,820.918,0.781,97.229,1.278,0.783,0.958
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,631.094,0.753,97.903,1.45,0.69,0.947
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,744.409,0.751,100,1.434,0.697,0.938
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,710.497,0.712,99.418,1.35,0.741,0.892
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,248.964,0.755,100,1.557,0.642,0.947
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,444.578,0.816,100,1.237,0.808,0.965
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 009-1.tif,232.835,0.487,99.645,2.448,0.408,0.94
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,970.627,0.754,98.509,1.733,0.577,0.949
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,556.239,0.901,100,1.386,0.722,0.969
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,164.184,0.936,100,1.26,0.794,0.953
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,286.184,0.797,100,1.701,0.588,0.936
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,1217.109,0.796,99.898,1.448,0.691,0.967
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,385.439,0.79,100,1.483,0.674,0.954
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,260.957,0.869,99.366,1.43,0.699,0.951
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,240.692,0.874,100,1.137,0.88,0.941
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,503.303,0.846,98.274,1.453,0.688,0.966
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,729.107,0.792,99.319,1.843,0.542,0.967
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,443.751,0.758,100,1.65,0.606,0.966
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,336.225,0.85,100,1.656,0.604,0.962
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,555.826,0.89,99.777,1.202,0.832,0.955
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,1275.835,0.705,100,2.204,0.454,0.969
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,268.401,0.824,100,1.689,0.592,0.949
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,894.118,0.657,100,2.384,0.419,0.94
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,412.734,0.846,100,1.053,0.95,0.957
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,1183.197,0.768,98.847,1.899,0.527,0.968
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,358.144,0.704,100,1.72,0.581,0.942
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,612.483,0.859,98.109,1.19,0.841,0.96
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,437.134,0.79,99.338,1.613,0.62,0.957
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,263.438,0.505,100,2.716,0.368,0.94
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,534.32,0.629,99.071,2.498,0.4,0.935
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,783.697,0.855,100,1.025,0.976,0.965
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,397.018,0.846,100,1.343,0.745,0.959
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,433.825,0.67,99.809,2.458,0.407,0.916
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,482.625,0.833,99.657,1.581,0.633,0.958
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,963.183,0.851,99.871,1.334,0.749,0.969
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,664.592,0.734,97.822,2.097,0.477,0.966
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,319.269,0.903,96.373,1.096,0.913,0.954
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,688.578,0.859,99.88,1.316,0.76,0.961
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,239.865,0.915,100,1.248,0.801,0.959
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,424.313,0.8,100,1.694,0.59,0.954
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,139.784,0.923,100,1.317,0.759,0.945
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,752.267,0.812,100,1.489,0.672,0.957
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,520.673,0.836,100,1.358,0.737,0.955
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,862.688,0.868,99.808,1.306,0.765,0.968
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,837.047,0.915,99.605,1.094,0.914,0.971
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,708.429,0.864,100,1.288,0.776,0.963
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,311.411,0.655,100,2.327,0.43,0.972
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,998.749,0.878,99.296,1.028,0.973,0.973
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,278.326,0.864,100,1.307,0.765,0.949
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,1191.468,0.812,100,1.686,0.593,0.971
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,334.571,0.697,100,2.217,0.451,0.973
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,363.52,0.753,99.204,1.932,0.518,0.949
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,1021.908,0.71,99.191,1.95,0.513,0.95
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,1337.042,0.732,99.691,1.855,0.539,0.947
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 008-1.tif,781.63,0.798,99.947,1.638,0.61,0.964
