ssp;pc1;pc2;pc3;pe1;pe2;pcd;parasitism;;;;;
Tipuana tipu;0.458;0.4;0.366;0.274;0.283;1.11;h;;;;;
Tipuana tipu;0.441;0.459;0.356;0.325;0.356;0.777;h;;;;;
Tipuana tipu;0.341;0.345;0.31;0.327;0.296;0.813;h;;;;;
Tipuana tipu;0.387;0.378;0.375;0.269;0.281;1.422;h;;;;;
Tipuana tipu;;;;;;1.544;h;;;;;
Tipuana tipu;;;;;;1.6;h;;;;;
Struthanthus rhynchophyllus;0.753;0.863;0.816;0.555;0.665;0.618;p;;;;;
Struthanthus rhynchophyllus;0.769;0.803;0.773;0.635;0.656;0.507;p;;;;;
Struthanthus rhynchophyllus;0.711;0.794;0.78;0.527;0.645;0.467;p;;;;;
Struthanthus rhynchophyllus;0.735;0.779;0.729;0.538;0.596;0.605;p;;;;;
Struthanthus rhynchophyllus;0.688;0.725;0.733;0.543;0.608;0.573;p;;;;;
Struthanthus rhynchophyllus;0.672;0.671;0.66;0.532;0.555;0.678;p;;;;;
Struthanthus rhynchophyllus;0.81;0.856;0.877;0.612;0.784;0.552;p;;;;;
Struthanthus rhynchophyllus;0.903;0.986;0.996;0.67;0.71;0.422;p;;;;;
Struthanthus rhynchophyllus;1.058;0.884;0.96;0.63;0.875;0.5;p;;;;;
Struthanthus rhynchophyllus;0.917;0.988;0.862;0.648;0.6;0.514;p;;;;;
Struthanthus rhynchophyllus;0.755;0.887;0.802;0.65;0.639;0.335;p;;;;;
Struthanthus rhynchophyllus;0.747;0.741;0.683;0.674;0.689;0.3;p;;;;;
Struthanthus rhynchophyllus;0.889;0.849;0.794;0.662;0.703;0.346;p;;;;;
Struthanthus rhynchophyllus;0.999;1.067;1.088;0.876;0.77;0.38;p;;;;;
Struthanthus rhynchophyllus;0.855;0.897;0.838;0.73;0.721;0.512;p;;;;;
Struthanthus rhynchophyllus;0.916;0.935;0.847;0.731;0.761;0.503;p;;;;;
Struthanthus rhynchophyllus;1.123;1.149;1.051;0.957;0.827;0.469;p;;;;;
Struthanthus rhynchophyllus;0.961;1.023;0.95;0.743;0.845;0.447;p;;;;;
Struthanthus rhynchophyllus;0.844;0.87;0.865;0.766;0.727;0.583;p;;;;;
Struthanthus rhynchophyllus;0.68;0.753;0.713;0.618;0.63;0.474;p;;;;;
Struthanthus rhynchophyllus;0.928;1.036;0.99;0.626;0.863;0.537;p;;;;;
Struthanthus rhynchophyllus;0.714;0.826;0.824;0.646;0.584;0.427;p;;;;;
Struthanthus rhynchophyllus;0.768;0.775;0.676;0.598;0.762;0.36;p;;;;;
Struthanthus rhynchophyllus;0.823;0.822;0.806;0.695;0.733;0.785;p;;;;;
Struthanthus rhynchophyllus;0.806;0.839;0.932;0.679;0.633;0.56;p;;;;;
Struthanthus rhynchophyllus;0.658;0.713;0.709;0.662;0.63;0.505;p;;;;;
Struthanthus rhynchophyllus;0.625;0.634;0.675;0.626;0.627;0.594;p;;;;;
Struthanthus rhynchophyllus;;;;;;0.372;p;;;;;
Struthanthus rhynchophyllus;;;;;;0.434;p;;;;;
Struthanthus rhynchophyllus;;;;;;0.545;p;;;;;
Viscum album;0.527;0.588;0.605;0.409;0.528;0.38;p;;;;;
Viscum album;0.81;0.86;0.867;0.667;0.834;0.213;p;;;;;
Viscum album;0.569;0.6;0.551;0.484;0.407;0.158;p;;;;;
Viscum album;0.569;0.578;0.561;0.456;0.464;0.238;p;;;;;
Viscum album;0.564;0.576;0.526;0.512;0.507;0.294;p;;;;;
Viscum album;0.622;0.611;0.581;0.519;0.413;0.284;p;;;;;
Viscum album;0.493;0.568;0.586;0.396;0.398;0.271;p;;;;;
Viscum album;0.595;0.6;0.59;0.433;0.513;0.285;p;;;;;
Viscum album;0.611;0.642;0.529;0.426;0.497;0.328;p;;;;;
Viscum album;0.589;0.617;0.589;0.488;0.528;0.348;p;;;;;
Viscum album;0.467;0.511;0.503;0.356;0.332;0.213;p;;;;;
Viscum album;0.408;0.449;0.433;0.314;0.361;0.311;p;;;;;
Viscum album;0.413;0.401;0.335;0.299;0.343;0.407;p;;;;;
Viscum album;0.603;0.548;0.565;0.376;0.415;0.24;p;;;;;
Viscum album;0.577;0.602;0.554;0.416;0.528;0.224;p;;;;;
Viscum album;0.517;0.58;0.595;0.504;0.386;0.302;p;;;;;
Viscum album;0.439;0.427;0.428;0.294;0.378;0.359;p;;;;;
Viscum album;0.482;0.527;0.517;0.444;0.32;0.241;p;;;;;
Viscum album;0.619;0.63;0.593;0.474;0.581;0.176;p;;;;;
Viscum album;0.798;0.82;0.824;0.705;0.699;0.199;p;;;;;
Viscum album;0.865;0.942;0.776;0.562;0.708;0.186;p;;;;;
Viscum album;0.782;0.805;0.73;0.649;0.539;0.296;p;;;;;
Viscum album;0.507;0.588;0.563;0.499;0.334;0.24;p;;;;;
Viscum album;0.571;0.612;0.585;0.562;0.494;0.314;p;;;;;
Viscum album;0.681;0.654;0.595;0.448;0.645;0.292;p;;;;;
Viscum album;0.641;0.679;0.72;0.541;0.465;0.17;p;;;;;
Viscum album;0.61;0.647;0.608;0.461;0.519;0.149;p;;;;;
Viscum album;0.798;0.9;0.879;0.614;0.75;0.29;p;;;;;
Viscum album;0.473;0.507;0.503;0.417;0.362;0.373;p;;;;;
Viscum album;0.616;0.607;0.533;0.488;0.357;0.272;p;;;;;
Populus nigra;0.219;0.157;0.162;0.198;0.163;0.469;h;;;;;
Populus nigra;0.225;0.181;0.162;0.107;0.171;0.61;h;;;;;
Populus nigra;0.307;0.299;0.269;0.202;0.286;1.211;h;;;;;
Populus nigra;0.322;0.352;0.324;0.266;0.285;0.556;h;;;;;
Populus nigra;0.345;0.313;0.336;0.216;0.246;1.048;h;;;;;
Populus nigra;0.239;0.317;0.281;0.263;0.257;1.339;h;;;;;
