ssp,indiv,Label,Count,Total Area,Average Size,%Area,Circ.,Solidity
Populus nigra,Populus nigra 1,Populus nigra - VSB x10 012-1.tif,281,202534.34,720.76,19.24,0.71,0.94
Populus nigra,Populus nigra 1,Populus nigra - VSB x10 013-1.tif,206,260346.02,1263.82,24.74,0.75,0.95
Populus nigra,Populus nigra 1,Populus nigra - VSB x10 014-1.tif,235,192449.27,818.93,18.29,0.69,0.93
Populus nigra,Populus nigra 1,Populus nigra - VSB x10 015-1.tif,213,242201.34,1137.10,23.01,0.70,0.94
Populus nigra,Populus nigra 1,Populus nigra - VSB x10 016.tif,226,252480.82,1117.17,21.90,0.72,0.94
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 001.tif,99,323414.92,3266.82,7.06,0.78,0.94
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 002.tif,82,267640.16,3263.90,5.84,0.77,0.93
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 003.tif,91,282547.64,3104.92,6.17,0.80,0.94
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 004.tif,79,189336.58,2396.67,4.13,0.82,0.94
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 005.tif,86,292231.68,3398.04,6.38,0.74,0.93
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 006.tif,132,298734.46,2263.14,6.52,0.70,0.87
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 007.tif,80,256136.30,3201.70,5.59,0.78,0.94
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,72,205260.01,2850.83,4.48,0.79,0.93
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,92,254063.35,2761.56,5.55,0.78,0.94
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 010.tif,107,285752.85,2670.59,6.24,0.78,0.94
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 011.tif,94,269634.44,2868.45,5.89,0.79,0.94
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 001-1.tif,96,214447.65,2233.83,4.77,0.69,0.85
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 002-1.tif,44,142015.36,3227.62,4.93,0.79,0.94
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 003-1.tif,84,203374.14,2421.12,4.52,0.73,0.90
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 004-1.tif,79,183044.90,2317.02,4.07,0.74,0.90
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 005-1.tif,64,167583.50,2618.49,3.73,0.77,0.94
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 006-1.tif,51,153269.29,3005.28,5.41,0.75,0.92
