ssp,indiv,Label,Count,Total Area,Average Size,%Area,Circ.,Solidity
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 001-1.tif,21,77135.75,3673.13,8.79,0.75,0.96
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 002-1.tif,22,79089.67,3594.99,9.01,0.77,0.96
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 003-1.tif,23,70395.67,3060.68,8.02,0.73,0.94
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 004-1.tif,22,81632.02,3710.55,9.30,0.70,0.94
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 005-1.tif,89,70862.09,796.20,8.07,0.50,0.81
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 006-1.tif,30,143674.63,4789.15,16.37,0.80,0.97
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 007-1.tif,17,72529.58,4266.45,8.26,0.71,0.95
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 008-1.tif,18,119509.36,6639.41,13.62,0.69,0.96
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 009-1.tif,49,131383.45,2681.30,14.97,0.60,0.87
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 010-1.tif,15,61815.90,4121.06,7.04,0.69,0.93
Tipuana tipu,Tipuana tipu 3,Tipuana tipu - VSB27 x10 010-1.tif,14,61170.36,4369.31,6.97,0.73,0.95
Viscum album,Viscum album 1,Viscum album 1 - VSB30 x10 001-1.tif,132,34340.08,260.15,4.36,0.88,0.94
Viscum album,Viscum album 1,Viscum album 1 - VSB30 x10 002-1.tif,72,20098.11,279.14,2.55,0.91,0.95
Viscum album,Viscum album 1,Viscum album 1 - VSB30 x10 003-1.tif,94,21659.41,230.42,2.75,0.88,0.93
Viscum album,Viscum album 1,Viscum album 1 - VSB30 x10 004-1.tif,164,40081.55,244.40,5.09,0.84,0.93
Viscum album,Viscum album 1,Viscum album 1 - VSB30 x10 005-1.tif,118,27982.76,237.14,3.55,0.85,0.92
Viscum album,Viscum album 1,Viscum album 1 - VSB30 x10 006-1.tif,150,29476.10,196.51,3.74,0.87,0.93
Viscum album,Viscum album 1,Viscum album 1 - VSB30 x10 007-1.tif,134,32111.11,239.64,4.08,0.89,0.93
Viscum album,Viscum album 1,Viscum album 1 - VSB30 x10 008-1.tif,150,36642.10,244.28,4.65,0.87,0.93
Viscum album,Viscum album 1,Viscum album 1 - VSB30 x10 009-1.tif,108,25381.72,235.02,3.22,0.88,0.93
Viscum album,Viscum album 1,Viscum album 1 - VSB30 x10 010-1.tif,119,29042.03,244.05,3.69,0.88,0.93
Viscum album,Viscum album 1,Viscum album 1 - VSB30 x10 011-1.tif,110,27847.69,253.16,3.54,0.87,0.93
Viscum album,Viscum album 2,Viscum album 2 - VSB30 x10 001-1.tif,119,30883.65,259.53,4.05,0.83,0.93
Viscum album,Viscum album 2,Viscum album 2 - VSB30 x10 002-1.tif,141,37745.55,267.70,4.95,0.85,0.93
Viscum album,Viscum album 2,Viscum album 2 - VSB30 x10 003-1.tif,132,37527.24,284.30,4.92,0.84,0.93
Viscum album,Viscum album 2,Viscum album 2 - VSB30 x10 004-1.tif,126,36320.16,288.26,4.76,0.80,0.92
Viscum album,Viscum album 2,Viscum album 2 - VSB30 x10 005-1.tif,115,27755.95,241.36,3.64,0.82,0.92
Viscum album,Viscum album 2,Viscum album 2 - VSB30 x10 006-1.tif,77,20791.27,270.02,2.73,0.83,0.93
Viscum album,Viscum album 2,Viscum album 2 - VSB30 x10 007-1.tif,105,33390.39,318.00,4.38,0.85,0.94
Viscum album,Viscum album 2,Viscum album 2 - VSB30 x10 008-1.tif,134,42381.87,316.28,5.56,0.85,0.94
Viscum album,Viscum album 2,Viscum album 2 - VSB30 x10 009-1.tif,138,40730.53,295.15,5.34,0.85,0.93
Viscum album,Viscum album 2,Viscum album 2 - VSB30 x10 010-1.tif,112,28606.26,255.41,3.75,0.86,0.93
Viscum album,Viscum album 3,Viscum album 3 - VSB30 x10 001.tif,146,38863.43,266.19,3.47,0.88,0.93
Viscum album,Viscum album 3,Viscum album 3 - VSB30 x10 002.tif,204,50083.88,245.51,4.48,0.85,0.93
Viscum album,Viscum album 3,Viscum album 3 - VSB30 x10 003.tif,203,50598.65,249.25,4.52,0.86,0.93
Viscum album,Viscum album 3,Viscum album 3 - VSB30 x10 004.tif,167,35539.51,212.81,3.18,0.85,0.92
Viscum album,Viscum album 3,Viscum album 3 - VSB30 x10 005.tif,174,38112.51,219.04,3.41,0.83,0.91
Viscum album,Viscum album 3,Viscum album 3 - VSB30 x10 006.tif,151,31761.98,210.34,2.84,0.86,0.92
Viscum album,Viscum album 3,Viscum album 3 - VSB30 x10 007.tif,174,38917.79,223.67,3.48,0.86,0.92
Viscum album,Viscum album 3,Viscum album 3 - VSB30 x10 008.tif,229,58185.99,254.09,5.20,0.89,0.94
Viscum album,Viscum album 3,Viscum album 3 - VSB30 x10 009.tif,197,45445.86,230.69,4.18,0.90,0.94
Viscum album,Viscum album 3,Viscum album 3 - VSB30 x10 010.tif,208,46341.18,222.79,4.19,0.89,0.93
