ssp,wt,parasitism
Phoradendron perrotettii,3959.3125,Parasite
Populus nigra,1347,Host
Psittacanthus robustus,4109.4625,Parasite
Struthanthus rhynchophyllus,4335.87916666667,Parasite
Tapirira guianensis,4165.9475,Host
Tipuana tipu,4914.43333333333,Host
Viscum album,3887.69333333333,Parasite
Vochysia thyrsoidea,4667.40083333333,Host
