PairTested,ParasiteMean,HostMean,EstimatedDifference,REVariance,PValue,DeltaAIC
Psittacanthus robustus vs Vochysia thyrsoidea,2.98436111111111,3.40388333333334,0.41952222222223,0.161427397822111,0.0873978454476913,0.500419899907342
Phoradendron perrotettii vs Tapirira guianensis,2.78952222222219,2.8385611111111,0.0490388888889077,0.233040807516731,0.819851689675498,2.90462555397613
Struthanthus rhynchophyllus vs Tipuana tipu,2.91737777777777,3.54437222222222,0.626994444444449,0.00185937165787698,0.00116600234170206,-4.82391394707184
