ssp,label,pic,PitOpening,PitDiameter
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendeon perrotettii 1 - GC4841 x100 034.tif,2.707,2.9046
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 031.tif,2.636,2.5787
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 031.tif,2.511,3.4163
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 031.tif,2.575,3.4308
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 031.tif,2.768,2.9653
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 031.tif,3.085,3.4163
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 031.tif,2.647,3.1743
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 031.tif,2.187,2.8619
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 031.tif,2.071,3.2384
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 031.tif,2.478,2.719
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 031.tif,2.064,3.223
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 031.tif,2.315,2.7098
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 031.tif,2.184,3.1102
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 031.tif,,2.9115
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 031.tif,2.935,3.4211
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 031.tif,,2.3344
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 032.tif,2.559,2.1267
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 032.tif,2.504,3.0352
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 032.tif,1.95,2.6549
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 032.tif,1.754,2.9897
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 032.tif,2.337,2.7098
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 032.tif,2.529,2.8364
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 032.tif,1.96,2.7259
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 032.tif,2.153,2.5907
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 032.tif,2.559,2.8821
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 032.tif,1.574,3.2326
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 032.tif,1.889,2.9897
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 032.tif,2.134,3.1042
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 032.tif,1.872,3.19
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 033.tif,2.397,3.6027
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 033.tif,1.866,2.9653
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 033.tif,2.071,3.1743
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 033.tif,2.011,2.6423
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 033.tif,1.798,2.8386
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 033.tif,2.443,2.9008
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 033.tif,1.744,2.8357
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 033.tif,2.619,2.903
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 033.tif,2.443,2.5779
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 034.tif,3.378,3.1102
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 034.tif,2.112,2.5779
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 034.tif,2.588,3.0726
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 034.tif,3.251,2.5536
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 035.tif,2.056,2.7981
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 035.tif,2.559,2.9008
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 035.tif,2.118,2.918
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 035.tif,2.645,2.772
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 035.tif,2.198,2.388
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 035.tif,2.835,2.8944
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 035.tif,2.6,2.5209
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 035.tif,2.912,2.6736
Phoradendron perrotettii,Phoradendron perrotettii 2,Phoradendeon perrotettii 2 - GC4841 x100 035.tif,2.407,2.4062
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 031.tif,2.504,3.0352
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 031.tif,1.909,2.9646
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 031.tif,2.158,3.029
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 031.tif,1.713,3.4254
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 031.tif,1.888,3.495
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 031.tif,1.61,3.0317
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 031.tif,1.789,2.9001
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 031.tif,1.322,2.7075
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 031.tif,0.963,3.2223
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 031.tif,2.579,2.7137
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 031.tif,2.214,2.7068
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 031.tif,2.355,2.5779
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 031.tif,1.763,3.4157
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 033.tif,2.134,3.029
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 033.tif,1.791,2.9115
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 033.tif,2.262,2.8077
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 033.tif,1.901,2.6455
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 033.tif,1.617,3.4855
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 033.tif,3.018,3.029
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 033.tif,1.482,3.1638
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 033.tif,1.605,2.5134
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 033.tif,1.482,2.9674
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 034.tif,2,2.5143
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 034.tif,1.99,2.388
Phoradendron perrotettii,Phoradendron perrotettii 3,Phoradendron Perrottettii 3- GC4841 x100 034.tif,2.198,3.0941
