ssp,label,pic,PitOpening,PitDiameter
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 033.tif,2.597,6.8341
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 033.tif,2.453,6.5171
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 033.tif,2.243,6.7718
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 033.tif,2.275,6.9749
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 033.tif,1.624,
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 033.tif,1.552,7.1562
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 033.tif,1.365,6.7819
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 034.tif,1.322,7.1582
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 034.tif,1.839,7.9364
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 034.tif,1.713,
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 034.tif,2.493,7.2226
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 034.tif,2.47,6.7037
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 034.tif,3.477,7.1886
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 034.tif,2.194,5.6128
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 034.tif,3.082,6.589
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 034.tif,1.413,7.4159
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 034.tif,1.789,5.6746
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 034.tif,2.075,6.0857
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 035.tif,1.728,6.5849
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 035.tif,1.669,7.0105
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 035.tif,1.184,7.3055
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 035.tif,1.562,7.4251
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 035.tif,1.097,6.971
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 035.tif,1.059,6.7914
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 035.tif,0.861,7.7382
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 036.tif,1.588,6.4447
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 036.tif,1.552,6.0703
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x100 036.tif,1.789,6.0594
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 034.tif,2.262,6.3161
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 034.tif,2.18,6.2513
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 034.tif,2.262,7.2226
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 034.tif,1.95,7.5447
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 034.tif,2.229,6.5739
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 034.tif,1.798,6.7037
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 034.tif,2.647,6.3884
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 034.tif,2.413,5.8016
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 034.tif,1.157,6.1872
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 034.tif,0.873,5.7488
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 034.tif,1.35,5.6368
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 035.tif,2.255,6.3832
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 035.tif,2.619,5.1883
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 035.tif,1.936,5.9242
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 035.tif,2.302,5.9337
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 035.tif,2.214,6.2434
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 035.tif,3.131,6.7975
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 035.tif,2.66,7.3644
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 036.tif,1.426,6.3161
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 036.tif,1.478,5.1959
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 036.tif,1.464,5.9154
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 036.tif,1.453,6.1681
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 036.tif,1.59,6.6633
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 036.tif,1.365,6.3711
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 036.tif,1.532,6.2434
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 036.tif,1.322,5.9337
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 036.tif,1.149,6.7813
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 036.tif,1.408,6.2567
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 036.tif,1.298,5.3339
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 036.tif,1.453,5.9417
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 036.tif,1.284,5.5649
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 036.tif,1.36,5.7679
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 037.tif,1.515,6.0188
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 037.tif,1.317,5.8277
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 037.tif,1.68,5.5727
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 037.tif,1.292,5.3959
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 037.tif,1.637,5.8933
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 037.tif,1.324,6.2523
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 037.tif,1.3,5.7078
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 037.tif,1.379,6.3799
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 037.tif,1.586,6.0816
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 037.tif,1.211,6.0857
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 037.tif,1.456,6.56
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 037.tif,1.816,5.9713
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 037.tif,1.567,6.762
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 037.tif,1.284,5.6717
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 037.tif,1.544,5.6717
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 038.tif,1.993,5.9295
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 038.tif,2.724,4.9662
Psittacanthus robustus,Psittacanthus robustus 3,psittacanthus robustus 3 - GC 4842 x100 038.tif,2.118,5.9713
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 021.tif,1.689,3.4801
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 021.tif,1.964,3.901
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 021.tif,1.776,3.6457
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 021.tif,1.674,3.8045
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 021.tif,1.542,3.4646
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 021.tif,1.99,3.7931
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 021.tif,1.953,3.8045
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 021.tif,1.799,3.4011
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 021.tif,1.862,3.6371
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 021.tif,1.734,3.4375
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 021.tif,1.035,2.9065
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 021.tif,1.298,3.893
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 021.tif,1.542,2.9709
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 022.tif,1.373,2.7832
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 022.tif,1.489,2.9897
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 022.tif,1.499,2.8619
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 022.tif,1.121,3.2893
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 022.tif,1.552,3.1815
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 022.tif,1.498,3.7931
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 022.tif,1.3,3.6938
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 022.tif,1.279,3.5656
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 022.tif,1.379,3.7518
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 022.tif,1.609,3.0481
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 022.tif,1.836,3.2925
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 023.tif,1.418,3.5656
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 023.tif,1.218,3.5539
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 023.tif,1.482,3.6757
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 023.tif,1.553,3.6182
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 023.tif,2.12,3.2455
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 023.tif,1.798,3.3519
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 023.tif,1.88,3.8024
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 023.tif,1.489,3.3519
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 023.tif,1.542,3.5539
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 023.tif,1.035,3.3568
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 023.tif,1.35,3.816
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 023.tif,1.414,3.3568
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 024.tif,1.669,3.2223
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 024.tif,1.562,2.918
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 024.tif,2.04,3.0941
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 024.tif,1.35,3.0934
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 024.tif,1.827,3.8754
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 024.tif,1.927,3.6661
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 024.tif,1.605,3.4011
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 024.tif,1.738,3.5393
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 024.tif,1.927,2.9897
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 024.tif,1.414,3.2538
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 025.tif,1.286,3.1102
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 025.tif,1.449,3.1042
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 025.tif,1.227,2.7981
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x100 025.tif,1.526,2.9646
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 022.tif,2.243,3.7385
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 022.tif,1.544,3.4163
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 022.tif,1.544,3.4211
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 022.tif,1.218,4.1251
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 022.tif,1.541,3.3815
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 022.tif,2.184,3.1815
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 023.tif,1.24,4.271
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 023.tif,1.426,2.9757
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 023.tif,1.612,3.2925
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 023.tif,1.467,2.9674
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 023.tif,1.294,3.3735
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 023.tif,1.48,3.4163
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 023.tif,0.958,3.8668
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 023.tif,1.036,2.5209
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 023.tif,1.24,2.6067
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 023.tif,1.676,3.6825
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 023.tif,0.867,2.935
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 024.tif,1.099,3.3765
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 024.tif,1.791,
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 024.tif,1.449,3.893
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 025.tif,1.921,4.111
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 025.tif,1.462,4.0087
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 025.tif,2.023,3.9397
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 025.tif,1.608,3.6553
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 025.tif,1.358,2.935
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 025.tif,1.926,3.5656
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 025.tif,1.55,2.7832
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 025.tif,1.546,3.2384
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 025.tif,1.78,3.8861
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 025.tif,1.993,2.8474
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 025.tif,1.832,2.6297
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 026.tif,1.177,2.2785
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 026.tif,1.167,3.5452
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 027.tif,1.322,3.6182
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 027.tif,1.35,3.4181
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 027.tif,1.588,3.6142
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 027.tif,1.61,3.7579
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 027.tif,2.294,3.3667
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 027.tif,1.605,3.6096
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 027.tif,1.763,3.4254
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 027.tif,1.689,3.2249
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 027.tif,1.808,3.6113
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 027.tif,1.617,3.8673
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 027.tif,2.12,3.3025
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 027.tif,2.055,3.3512
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 027.tif,,3.2874
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 027.tif,1.776,2.8386
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 027.tif,1.436,3.6735
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 027.tif,1.93,3.9318
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x100 027.tif,1.413,3.6096
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 025.tif,1.291,3.3537
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 025.tif,0.781,3.0995
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 025.tif,1.477,3.1586
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 025.tif,2.184,3.0352
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 025.tif,1.799,3.0941
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 025.tif,1.184,2.9646
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 025.tif,1.747,2.9065
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 025.tif,1.953,2.5779
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 026.tif,1.247,2.7712
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 026.tif,1.605,2.903
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 026.tif,2.007,2.9646
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 026.tif,1.546,3.4855
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 027.tif,1.354,2.5851
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 027.tif,1.194,3.3568
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 027.tif,1.105,3.223
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 027.tif,2.445,2.8077
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 027.tif,1.482,3.5539
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 027.tif,1.163,2.3281
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 027.tif,1.279,2.9987
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 027.tif,1.646,2.2703
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 027.tif,1.61,2.2593
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 027.tif,0.77,3.1605
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 027.tif,1.915,3.2538
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 027.tif,1.233,2.9258
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 028.tif,1.402,3.3519
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 028.tif,1.752,3.3095
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 028.tif,1.31,3.3568
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 028.tif,1.408,2.9065
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 028.tif,2.302,3.1586
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 028.tif,1.641,3.2925
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 028.tif,1.723,3.6096
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 028.tif,1.341,3.7401
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 029.tif,1.035,3.4825
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 029.tif,1.136,3.4801
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 3,Struthanthus rhynchophyllus - VSB27 x100 029.tif,1.41,3.7379
