Label,ssp,indiv,HydraulicDiameter,VesselDensity,VesselFraction,Kmax,parasitism
Phoradendron perrotettii 2 - GC4841 x10 006-1.tif,Phoradendron perrotettii,Phoradendron perrotettii 2,70.7782040452673,40.2032923411086,5.96,24.6688850265678,Parasite
Phoradendron perrotettii 2 - GC4841 x10 007-1.tif,Phoradendron perrotettii,Phoradendron perrotettii 2,67.5502024427899,39.3228898346091,5.36,20.0189729737049,Parasite
Phoradendron perrotettii 2 - GC4841 x10 008-1.tif,Phoradendron perrotettii,Phoradendron perrotettii 2,73.9241366470965,31.5160711760388,5.07,23.0126622892802,Parasite
Phoradendron perrotettii 2 - GC4841 x10 009-1.tif,Phoradendron perrotettii,Phoradendron perrotettii 2,73.6708739382254,39.3361713921097,6.51,28.3312099081948,Parasite
Phoradendron perrotettii 2 - GC4841 x10 011-1.tif,Phoradendron perrotettii,Phoradendron perrotettii 2,65.1583629587683,45.480043891369,6.21,20.0443178252613,Parasite
Phoradendron perrotettii 2 - GC4841 x10 012-1.tif,Phoradendron perrotettii,Phoradendron perrotettii 2,72.1797835915569,35.8810032949343,5.43,23.8131379433277,Parasite
Phoradendron Perrottettii 3- GC4841 x10 001.tif,Phoradendron perrotettii,Phoradendron perrotettii 3,71.4070803613081,43.4947308145489,6.81,27.6497685167877,Parasite
Phoradendron Perrottettii 3- GC4841 x10 002.tif,Phoradendron perrotettii,Phoradendron perrotettii 3,77.6476146621763,37.4943677988285,6.99,33.3248541388949,Parasite
Phoradendron Perrottettii 3- GC4841 x10 003.tif,Phoradendron perrotettii,Phoradendron perrotettii 3,78.5228557296487,45.0056385196323,8.78,41.8351198480577,Parasite
Phoradendron Perrottettii 3- GC4841 x10 004.tif,Phoradendron perrotettii,Phoradendron perrotettii 3,81.772785623246,42.7306728042415,9.12,46.7158922073768,Parasite
Phoradendron Perrottettii 3- GC4841 x10 005.tif,Phoradendron perrotettii,Phoradendron perrotettii 3,78.5728714183934,45.0155714240775,9.54,41.9510671394356,Parasite
Phoradendron Perrottettii 3- GC4841 x10 006.tif,Phoradendron perrotettii,Phoradendron perrotettii 3,77.6392328805235,45.73700945457,8.89,40.6333336473908,Parasite
Phoradendron Perrottettii 3- GC4841 x10 007.tif,Phoradendron perrotettii,Phoradendron perrotettii 3,68.4585044178701,32.9969387605642,5.12,17.7203798087861,Parasite
Phoradendron Perrottettii 3- GC4841 x10 008.tif,Phoradendron perrotettii,Phoradendron perrotettii 3,83.8413806755938,32.2484191951375,7.65,38.9611586522903,Parasite
Phoradendron Perrottettii 3- GC4841 x10 009.tif,Phoradendron perrotettii,Phoradendron perrotettii 3,75.9217009521073,40.5019623043752,7.74,32.9025479015098,Parasite
Phoradendron Perrottettii 3- GC4841 x10 010.tif,Phoradendron perrotettii,Phoradendron perrotettii 3,77.18578115491,50.3183813469082,8.66,43.6682335442909,Parasite
Populus nigra - VSB x10 006-1.tif,Populus nigra,Populus nigra 1,55.6995797277333,191.883866380238,18.97,45.1581228725372,Host
Populus nigra - VSB x10 007-1.tif,Populus nigra,Populus nigra 1,53.5743562912629,221.379965836431,19.9,44.5918930248702,Host
Populus nigra - VSB x10 008-1.tif,Populus nigra,Populus nigra 1,50.3999226603404,218.547576126187,17.29,34.4790444462035,Host
Populus nigra - VSB x10 009-1.tif,Populus nigra,Populus nigra 1,52.1940139819853,243.273836021963,20.67,44.1436195912866,Host
Populus nigra - VSB x10 010-1.tif,Populus nigra,Populus nigra 1,58.470011978203,188.170946833711,19.74,53.7743350084098,Host
Populus nigra - VSB x10 011-1.tif,Populus nigra,Populus nigra 1,59.3661818621254,235.618680800338,25.56,71.5576286088346,Host
Populus nigra - VSB x10 012-1.tif,Populus nigra,Populus nigra 1,47.6307585118342,266.939423704642,19.24,33.5932835819013,Host
Populus nigra - VSB x10 013-1.tif,Populus nigra,Populus nigra 1,66.104082417658,195.756401422999,24.74,91.3942439928728,Host
Populus nigra - VSB x10 014-1.tif,Populus nigra,Populus nigra 1,50.0090695814129,223.339376657547,18.29,34.1546740471238,Host
Populus nigra - VSB x10 015-1.tif,Populus nigra,Populus nigra 1,60.0227519558413,202.357674817158,23.01,64.220405111135,Host
Populus nigra - VSB x10 016.tif,Populus nigra,Populus nigra 1,60.2416253053136,196.030732156209,21.9,63.1248895266431,Host
Psittacanthus robustus 1 - GC 4842 x5 001.tif,Psittacanthus robustus,Psittacanthus robustus 1,104.845010812806,21.6112478669815,7.06,63.8499654760118,Parasite
Psittacanthus robustus 1 - GC 4842 x5 002.tif,Psittacanthus robustus,Psittacanthus robustus 1,102.524626965868,17.8926809788187,5.84,48.336806796643,Parasite
Psittacanthus robustus 1 - GC 4842 x5 003.tif,Psittacanthus robustus,Psittacanthus robustus 1,101.348168638594,19.87169314173,6.17,51.2611377055984,Parasite
Psittacanthus robustus 1 - GC 4842 x5 004.tif,Psittacanthus robustus,Psittacanthus robustus 1,93.66861951587,17.2322749254265,4.13,32.4346219664582,Parasite
Psittacanthus robustus 1 - GC 4842 x5 005.tif,Psittacanthus robustus,Psittacanthus robustus 1,101.727335474038,18.7755140031361,6.38,49.1623075380144,Parasite
Psittacanthus robustus 1 - GC 4842 x5 006.tif,Psittacanthus robustus,Psittacanthus robustus 1,91.304825494021,28.8095320506379,6.52,48.9554305313632,Parasite
Psittacanthus robustus 1 - GC 4842 x5 007.tif,Psittacanthus robustus,Psittacanthus robustus 1,101.327747527946,17.4594542046559,5.59,45.0022227088287,Parasite
Psittacanthus robustus 1 - GC 4842 x5 008.tif,Psittacanthus robustus,Psittacanthus robustus 1,99.1740699648201,15.7147025375279,4.48,37.1696487861049,Parasite
