ssp,pcd,parasitism
Phoradendron perrotettii,549.4,Parasite
Populus nigra,693.366666666667,Host
Psittacanthus robustus,830.566666666667,Parasite
Struthanthus rhynchophyllus,496.8,Parasite
Tapirira guianensis,992.766666666667,Host
Tipuana tipu,778.9,Host
Viscum album,268.433333333333,Parasite
Vochysia thyrsoidea,1122.29032258065,Host
