ssp,indiv,pic,Area,Circ.,X.Area,AR,Round,Solidity,VesselDiameter
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,1115.7043,0.743,99.772,1.393,0.718,0.946,37.690301603875
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,2790.1074,0.704,98.906,2.193,0.456,0.966,59.602643194226
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,294.1873,0.871,100,1.581,0.632,0.947,19.3538343466835
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,286.5572,0.716,100,2.051,0.488,0.879,19.1012030738533
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,390.83455,0.68,100,2.256,0.443,0.922,22.3075324612287
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,1854.13685,0.802,98.262,1.618,0.618,0.959,48.5876564445198
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,1572.66775,0.818,98.598,1.205,0.83,0.97,44.7479917988469
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,1871.9411,0.78,99.411,1.582,0.632,0.961,48.8203792891354
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,501.0487,0.795,100,1.814,0.551,0.953,25.2577714511424
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,1678.6425,0.634,99.091,2.808,0.356,0.944,46.2310935677829
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,2575.61385,0.738,99.111,2.077,0.482,0.971,57.2658135870572
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 009-1.tif,2180.5399,0.809,99.417,1.264,0.791,0.96,52.6910773238967
