ssp,indiv,pic,Area,Circ.,X.Area,AR,Round,Solidity,VesselDiameter
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 007.tif,2447.70615,0.861,100,1.094,0.914,0.945,55.8257670262707
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 007.tif,2059.6145,0.724,100,2.246,0.445,0.933,51.2092045272131
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,1984.71775,0.842,99.314,1.604,0.623,0.951,50.2694850226039
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3162.6129,0.819,98.601,1.589,0.629,0.967,63.4567869417413
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,1160.874,0.931,100,1.166,0.858,0.945,38.4456848457
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,820.44075,0.86,100,1.723,0.58,0.938,32.3205446583466
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3428.15145,0.704,100,2.237,0.447,0.948,66.0670719154496
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,1484.28405,0.91,100,1.309,0.764,0.955,43.4723952420345
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,626.39595,0.936,100,1.361,0.735,0.934,28.2409648242044
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3240.91265,0.913,99.475,1.224,0.817,0.962,64.237513549424
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,1872.3757,0.908,98.182,1.294,0.773,0.966,48.8260461622809
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3230.69955,0.743,100,1.919,0.521,0.941,64.1362177261654
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,1382.15305,0.855,99.507,1.488,0.672,0.937,41.9501122779942
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,4279.2315,0.802,100,1.685,0.593,0.962,73.8138656817022
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,1497.90015,0.588,99.545,3.169,0.316,0.929,43.6713373397785
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,1596.6261,0.744,100,2.185,0.458,0.943,45.0875535893918
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3131.97565,0.842,99.891,1.524,0.656,0.955,63.1486757638481
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3720.9222,0.803,98.902,1.668,0.6,0.955,68.8304096161207
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3213.6784,0.592,99.894,2.923,0.342,0.918,63.9670416929002
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,2917.5026,0.851,100,1.438,0.695,0.957,60.9481720988222
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,7132.05045,0.775,99.905,1.608,0.622,0.961,95.2932771395035
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,1695.35205,0.929,99.197,1.166,0.858,0.951,46.4606206621029
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3070.69705,0.791,99.224,1.711,0.585,0.959,62.5278571035471
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,4003.47985,0.848,99.745,1.45,0.69,0.97,71.3960003191383
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3489.428,0.799,99.902,1.773,0.564,0.949,66.6549151833991
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3758.36955,0.871,99.547,1.365,0.733,0.961,69.1758970652965
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,1579.60495,0.776,100,1.906,0.525,0.946,44.8465772094082
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,2488.55855,0.672,100,2.51,0.398,0.931,56.2897073651018
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3349.8517,0.852,99.39,1.029,0.972,0.95,65.3082204124283
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,2505.5797,0.883,100,1.15,0.869,0.949,56.4818834364229
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,1474.07095,0.866,100,1.335,0.749,0.934,43.32257408425
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,517.4569,0.745,100,2.13,0.47,0.907,25.6680070861777
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,1388.96315,0.786,99.51,1.734,0.577,0.935,42.0533329090563
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,817.03775,0.66,100,1.888,0.53,0.896,32.2534459064678
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,1960.88855,0.921,100,1.202,0.832,0.957,49.9667974226725
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,7462.2706,0.416,99.726,3.019,0.331,0.846,97.4743967482466
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3343.0416,0.903,100,1.271,0.787,0.969,65.2418022805525
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,4670.7282,0.743,100,2.042,0.49,0.961,77.1165082647658
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,4572.00225,0.811,98.734,1.805,0.554,0.963,76.2971432185907
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3499.6411,0.692,99.611,2.088,0.479,0.903,66.752389027663
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,4585.6204,0.852,99.555,1.491,0.671,0.964,76.4106879331961
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,6989.0691,0.531,55.967,2.007,0.498,0.864,94.3332346472154
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3737.94335,0.876,92.623,1.243,0.805,0.971,68.9876604125682
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3891.1378,0.754,100,2.113,0.473,0.961,70.3871474132443
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,1630.67045,0.84,75.365,1.682,0.595,0.943,45.5657119045789
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,2417.06685,0.73,100,1.916,0.522,0.936,55.4752656207111
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,2726.8608,0.818,99.501,1.473,0.679,0.954,58.9232297447124
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3816.2431,0.863,99.197,1.308,0.765,0.951,69.7064676141512
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,1375.345,0.902,87.871,1.372,0.729,0.946,41.8466682264405
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,1385.5581,0.873,80.59,1.387,0.721,0.96,42.0017543020303
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,2328.55605,0.786,66.374,1.564,0.639,0.937,54.4500656105418
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3663.04865,0.748,99.907,1.454,0.688,0.932,68.2930332864836
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,2427.27995,0.907,62.693,1.387,0.721,0.957,55.5923449629784
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,2471.5374,0.844,99.036,1.499,0.667,0.947,56.0968729429006
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3829.86125,0.871,100,1.178,0.849,0.964,69.8307295848242
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,1218.74755,0.782,82.402,1.88,0.532,0.932,39.3923542798485
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,2828.98975,0.842,99.519,1.691,0.591,0.978,60.0165112394118
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3087.7182,0.822,99.338,1.618,0.618,0.958,62.7009163827649
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,2805.16055,0.873,100,1.243,0.804,0.958,59.7632106031047
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3823.05115,0.726,99.644,2.024,0.494,0.925,69.7686169113681
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,4384.7655,0.843,99.767,1.279,0.782,0.958,74.7185173099042
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,2549.8351,0.851,61.549,1.564,0.639,0.954,56.9785124575373
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,830.65385,0.87,100,1.592,0.628,0.935,32.5210905383954
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,1821.31225,0.756,65.047,2.053,0.487,0.931,48.1556515895131
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,4360.93425,0.922,100,1.079,0.926,0.969,74.5151926729709
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3101.33635,0.714,99.232,2.004,0.499,0.942,62.8390331111532
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,3400.91515,0.812,100,1.422,0.703,0.96,65.8041006113519
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,2311.53285,0.836,61.414,1.591,0.629,0.942,54.2506685080873
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,2590.6875,0.828,99.08,1.365,0.733,0.959,57.433141765457
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,2076.63565,0.897,68.689,1.29,0.775,0.958,51.4203717371511
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,2028.9752,0.928,65.101,1.163,0.86,0.959,50.8268773379492
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,1674.92585,0.837,68.293,1.648,0.607,0.959,46.1798855208537
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,554.90425,0.756,100,1.381,0.724,0.924,26.5805574554336
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,609.37275,0.507,100,2.856,0.35,0.897,27.8545774116933
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,994.0614,0.774,100,1.522,0.657,0.95,35.576372557848
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,3622.19625,0.674,100,2.296,0.436,0.928,67.9111441833475
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2035.78325,0.743,100,1.885,0.53,0.931,50.9120785119746
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2866.4371,0.835,100,1.648,0.607,0.957,60.4124247834498
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,3111.54945,0.814,99.891,1.539,0.65,0.959,62.9424165816578
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,1691.947,0.794,100,1.641,0.61,0.936,46.4139400180164
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2168.5515,0.682,100,2.572,0.389,0.934,52.5460324343785
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2689.41345,0.698,99.873,2.045,0.489,0.94,58.5172415334372
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2063.0175,0.62,99.34,2.422,0.413,0.907,51.2514922951583
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,1259.5979,0.679,99.189,1.657,0.603,0.954,40.0470954845088
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,4265.61335,0.866,100,1.229,0.813,0.962,73.6963201236685
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2035.78325,0.837,100,1.424,0.702,0.959,50.9120785119746
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,4003.47985,0.851,100,1.426,0.701,0.961,71.3960003191383
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,3053.6759,0.774,100,1.457,0.686,0.929,62.354317514385
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2342.17215,0.841,99.419,1.338,0.748,0.945,54.609030406677
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2512.38775,0.8,100,1.527,0.655,0.944,56.55856641578
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,3203.4653,0.848,99.469,1.244,0.804,0.956,63.8653168797188
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,1746.4155,0.697,100,2.501,0.4,0.942,47.1551192993765
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,837.4619,0.672,100,2.426,0.412,0.904,32.6540902229574
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,3949.01135,0.895,99.828,1.202,0.832,0.963,70.9086554196876
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,1194.9163,0.742,100,2.121,0.471,0.947,39.0053161224034
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2444.3011,0.852,100,1.393,0.718,0.954,55.7869233759997
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,3560.9197,0.836,100,1.609,0.622,0.957,67.3342689695706
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2080.0407,0.838,100,1.468,0.681,0.974,51.4625113446537
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2927.7157,0.832,100,1.549,0.646,0.945,61.0547574311944
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,4061.3534,0.673,100,2.199,0.455,0.947,71.9101922819332
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,3564.3227,0.823,100,1.63,0.613,0.948,67.3664353505305
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,4742.21785,0.857,100,1.395,0.717,0.958,77.7044354999698
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2941.3318,0.9,99.306,1.114,0.898,0.965,61.1965682203427
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,3271.55195,0.853,99.168,1.458,0.686,0.956,64.5404471273281
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,1746.4155,0.778,100,1.842,0.543,0.944,47.1551192993765
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2726.8608,0.81,100,1.499,0.667,0.954,58.9232297447124
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2406.85375,0.798,100,1.371,0.729,0.95,55.3579386618949
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,1940.46235,0.84,100,1.387,0.721,0.934,49.7058688596198
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2396.64065,0.712,100,2.224,0.45,0.923,55.2403625087651
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,721.71685,0.896,100,1.494,0.669,0.936,30.3136674376707
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,3148.9968,0.827,100,1.359,0.736,0.947,63.3200383133529
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,3625.6013,0.81,99.906,1.295,0.772,0.949,67.9430566622022
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2522.60085,0.809,100,1.816,0.551,0.954,56.6734078541474
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,4309.86875,0.839,100,1.343,0.745,0.962,74.0776303962155
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2005.14395,0.826,100,1.631,0.613,0.953,50.5275031050067
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,4105.61085,0.892,100,1.23,0.813,0.961,72.3009411385063
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,3240.91265,0.841,100,1.502,0.666,0.952,64.237513549424
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2713.24265,0.9,98.62,1.177,0.849,0.96,58.7759120426219
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,1426.4105,0.812,100,1.961,0.51,0.961,42.6164552212576
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,1395.7712,0.856,100,1.401,0.714,0.943,42.1562698449762
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2137.9122,0.614,100,2.491,0.401,0.921,52.1735024338193
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2301.31975,0.811,100,1.305,0.766,0.94,54.1306873296473
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,1504.71025,0.708,100,2.254,0.444,0.921,43.7704991251908
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2760.9031,0.642,100,2.397,0.417,0.927,59.2898895774136
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2056.20945,0.758,100,2.013,0.497,0.947,51.1668563036478
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2406.85375,0.749,100,1.524,0.656,0.913,55.3579386618949
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2672.3923,0.846,99.49,1.097,0.912,0.941,58.3317714063764
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,3291.97815,0.687,100,1.47,0.68,0.925,64.7416153720627
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,3771.9877,0.772,100,1.398,0.715,0.938,69.3011103943843
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2655.3691,0.896,100,1.113,0.898,0.955,58.1456872346335
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2257.06435,0.593,100,1.905,0.525,0.875,53.6076821494081
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,759.1642,0.499,100,3.754,0.266,0.814,31.0901572911305
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,3867.3086,0.83,100,1.557,0.642,0.957,70.1712921443975
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,1293.64225,0.629,100,2.685,0.372,0.868,40.5846826948317
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2931.12075,0.869,100,1.235,0.81,0.968,61.0902516715539
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2348.9802,0.884,100,1.169,0.856,0.969,54.6883395290067
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2641.753,0.794,100,1.709,0.585,0.942,57.9964170188362
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,3176.23105,0.751,100,1.669,0.599,0.924,63.5932620336124
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,3775.3907,0.861,100,1.498,0.668,0.96,69.3323642757505
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2621.3268,0.752,99.481,1.851,0.54,0.95,57.7717659539163
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,3234.1046,0.861,99.684,1.419,0.705,0.963,64.1700075465937
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,3394.1071,0.792,100,1.865,0.536,0.962,65.738203343158
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,1991.52785,0.872,100,1.418,0.705,0.958,50.3556552242288
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2175.3616,0.738,98.435,2.055,0.487,0.938,52.6284753077491
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2413.66385,0.822,99.295,1.436,0.696,0.948,55.4361999195266
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,1794.07595,0.635,100,2.599,0.385,0.934,47.7942302563636
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2491.96155,0.874,99.863,1.315,0.761,0.953,56.3281811300483
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,670.65135,0.918,100,1.308,0.764,0.925,29.2215642899216
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2274.0855,0.811,100,1.439,0.695,0.943,53.8094377103946
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2148.1253,0.725,100,1.998,0.5,0.923,52.2979739474302
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,1926.84625,0.875,100,1.34,0.746,0.957,49.5311704093963
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,1109.8085,0.866,100,1.376,0.727,0.946,37.5905848489115
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2726.8608,0.801,100,1.727,0.579,0.947,58.9232297447124
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,8326.96675,0.426,99.959,1.557,0.642,0.832,102.967098404271
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2097.06185,0.82,100,1.535,0.651,0.948,51.6726433925678
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2175.3616,0.855,99.844,1.336,0.749,0.942,52.6284753077491
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2811.9686,0.706,99.879,2.348,0.426,0.948,59.8356885150791
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,1327.68455,0.839,99.231,1.632,0.613,0.941,41.1152097403614
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,5147.3327,0.791,100,1.529,0.654,0.952,80.9554664216594
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2434.09005,0.751,100,2.048,0.488,0.943,55.6702766932803
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2948.1419,0.904,100,1.236,0.809,0.965,61.2673718268595
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2631.5399,0.754,100,1.936,0.517,0.935,57.8842004715312
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,3114.95245,0.831,99.563,1.392,0.718,0.958,62.9768262086117
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,2120.89105,0.782,100,1.293,0.773,0.928,51.965395745004
