ssp,pc1,pc2,pc3,pe1,pe2,pcd,parasitism,peavg,pcavg,pitavg
Vochysia thyrsoidea,0.246,0.31,0.29,0.277,0.303,1.756,,0.29,0.282,0.2852
Phoradendron perrotettii,0.543,0.543,0.543,0.435,0.474,0.492,,0.4545,0.543,0.5076
Phoradendron perrotettii,0.539,0.566,0.526,0.5,0.433,0.599,,0.4665,0.543666666666667,0.5128
Phoradendron perrotettii,0.465,0.483,0.466,0.36,0.477,0.447,,0.4185,0.471333333333333,0.4502
Phoradendron perrotettii,0.497,0.628,0.607,0.383,0.476,0.675,,0.4295,0.577333333333333,0.5182
Phoradendron perrotettii,0.554,0.564,0.504,0.507,0.445,0.316,,0.476,0.540666666666667,0.5148
Phoradendron perrotettii,0.554,0.553,0.53,0.391,0.391,0.433,,0.391,0.545666666666667,0.4838
Phoradendron perrotettii,0.357,0.449,0.37,0.347,0.333,0.313,,0.34,0.392,0.3712
Phoradendron perrotettii,0.408,0.39,0.378,0.275,0.329,,,0.302,0.392,0.356
Phoradendron perrotettii,0.341,0.344,0.35,0.316,0.339,0.506,,0.3275,0.345,0.338
Phoradendron perrotettii,0.467,0.495,0.42,0.311,0.396,0.49,,0.3535,0.460666666666667,0.4178
Phoradendron perrotettii,0.387,0.449,0.419,0.341,0.39,0.383,,0.3655,0.418333333333333,0.3972
Phoradendron perrotettii,0.448,0.48,0.449,0.368,0.432,0.511,,0.4,0.459,0.4354
Phoradendron perrotettii,0.462,0.494,0.46,0.327,0.395,0.548,,0.361,0.472,0.4276
Phoradendron perrotettii,0.566,0.523,0.522,0.403,0.356,0.574,,0.3795,0.537,0.474
Phoradendron perrotettii,0.628,0.615,0.514,0.641,0.451,0.622,,0.546,0.585666666666667,0.5698
Phoradendron perrotettii,0.52,0.502,0.501,0.462,0.418,0.528,,0.44,0.507666666666667,0.4806
Phoradendron perrotettii,0.544,0.584,0.533,0.458,0.463,0.518,,0.4605,0.553666666666667,0.5164
Phoradendron perrotettii,0.656,0.613,0.595,0.426,0.447,0.731,,0.4365,0.621333333333333,0.5474
Phoradendron perrotettii,0.544,0.542,0.581,0.527,0.445,0.527,,0.486,0.555666666666667,0.5278
Phoradendron perrotettii,0.538,0.518,0.492,0.427,0.379,0.449,,0.403,0.516,0.4708
Phoradendron perrotettii,0.465,0.477,0.446,0.387,0.42,0.593,,0.4035,0.462666666666667,0.439
Phoradendron perrotettii,0.505,0.483,0.492,0.39,0.368,0.694,,0.379,0.493333333333333,0.4476
Phoradendron perrotettii,0.365,0.343,0.35,0.342,0.367,0.44,,0.3545,0.352666666666667,0.3534
Phoradendron perrotettii,0.425,0.466,0.429,0.366,0.322,,,0.344,0.44,0.4016
Phoradendron perrotettii,0.37,0.39,0.393,0.336,0.321,0.474,,0.3285,0.384333333333333,0.362
Phoradendron perrotettii,0.442,0.496,0.505,0.511,0.345,0.507,,0.428,0.481,0.4598
Phoradendron perrotettii,0.596,0.635,0.6,0.536,0.475,,,0.5055,0.610333333333333,0.5684
Phoradendron perrotettii,0.574,0.556,0.531,0.429,0.424,0.551,,0.4265,0.553666666666667,0.5028
Phoradendron perrotettii,0.454,0.486,0.499,0.443,0.337,0.537,,0.39,0.479666666666667,0.4438
Phoradendron perrotettii,0.635,0.655,0.675,0.475,0.646,0.573,,0.5605,0.655,0.6172
Tapirira guianensis,0.324,0.351,0.338,0.23,0.393,1.003,,0.3115,0.337666666666667,0.3272
