ssp,indiv,pic,Count,Total.Area,Average.Size,X.Area,Circ.,Solidity,vdensity,parasitism
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 008.tif,72,198866.7772,1347.336,4.362,0.805,0.945,15.7926831430544,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 009.tif,93,242288.88295,1270.857,5.315,0.786,0.942,20.4010598415283,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 010.tif,111,273452.0297,1201.723,5.998,0.793,0.941,24.3471588318586,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 011.tif,95,258976.8608,1329.791,5.681,0.788,0.942,20.8395066004291,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 001.tif,93,291413.2236,1528.525,6.392,0.784,0.943,20.3990742992488,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 002.tif,81,246571.51745,1484.923,5.409,0.795,0.945,17.7688406402757,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 003.tif,91,265206.7657,1421.639,5.818,0.809,0.945,19.9632161948273,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 004.tif,72,177681.68975,1203.805,3.898,0.827,0.946,15.7954373573825,Parasite
Psittacanthus robustus,Psittacanthus robustus 1,Psittacanthus robustus 1 - GC 4842 x5 005.tif,83,259889.21945,1527.412,5.701,0.761,0.936,18.2071038191346,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 001-1.tif,66,172663.7223,1276.155,3.838,0.788,0.945,14.6705976580235,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 002-1.tif,38,127376.0489,1635.123,4.419,0.806,0.947,13.1831691632884,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 003-1.tif,74,181933.687,1199.299,4.044,0.801,0.945,16.4486305386643,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 004-1.tif,67,164663.57065,1198.861,3.661,0.811,0.946,14.8962517350829,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 005-1.tif,54,144155.9426,1302.222,3.205,0.771,0.946,12.0057485580203,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 006-1.tif,48,145851.29465,1482.229,5.149,0.79,0.951,16.9454786529727,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 007-1.tif,79,225924.3131,1395.025,5.405,0.775,0.947,18.8999136100505,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 008-1.tif,77,194379.88275,1231.421,5.34,0.79,0.933,21.1534236044805,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 009-1.tif,67,186168.66105,1355.433,7.799,0.787,0.944,28.0677207996711,Parasite
Psittacanthus robustus,Psittacanthus robustus 2,Psittacanthus robustus 2 - GC4842 x5 010-1.tif,74,155111.04625,1022.485,3.597,0.811,0.943,17.1604799551792,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,Psittacanthus robustus 3 - GC 4842 x5 006-1.tif,64,165661.03505,1262.66,3.619,0.796,0.948,13.9813203467003,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,Psittacanthus robustus 3 - GC 4842 x5 007-1.tif,63,195033.5109,1510.132,4.261,0.801,0.956,13.7639423482275,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,Psittacanthus robustus 3 - GC 4842 x5 010-1.tif,63,184878.42385,1431.502,4.039,0.784,0.952,13.7634773545264,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,Psittacanthus robustus 3 - GC 4842 x5 011-1.tif,66,189712.5596,1402.162,4.144,0.773,0.95,14.416757676807,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,Psittacanthus robustus 3 - GC 4842 x5 012-1.tif,80,242346.7565,1477.724,5.294,0.759,0.946,17.4757857755773,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,Psittacanthus robustus 3 - GC 4842 x5 001-1.tif,57,181385.58875,1552.294,3.962,0.823,0.952,12.4504929832801,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,Psittacanthus robustus 3 - GC 4842 x5 002-1.tif,66,214496.01,1585.336,4.686,0.825,0.952,14.4187297470009,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,Psittacanthus robustus 3 - GC 4842 x5 003-1.tif,66,214781.9727,1587.45,4.692,0.815,0.95,14.4179698187491,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,Psittacanthus robustus 3 - GC 4842 x5 004-1.tif,57,176415.2838,1509.759,3.854,0.827,0.952,12.4523224557486,Parasite
Psittacanthus robustus,Psittacanthus robustus 3,Psittacanthus robustus 3 - GC 4842 x5 005-1.tif,53,148247.93735,1364.454,3.238,0.802,0.949,11.5761475719446,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x10 006-1.tif,60,82422.3738,670.101,8.532,0.811,0.956,62.1093492456535,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x10 007-1.tif,62,74291.4875,584.512,7.691,0.851,0.962,64.1852809852542,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x10 008-1.tif,71,70306.6811,483.041,7.278,0.793,0.95,73.497709167216,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x10 009-1.tif,65,79349.719,595.495,8.214,0.793,0.95,67.2856825113647,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x10 010-1.tif,62,55991.23795,440.529,5.796,0.759,0.937,64.1800419417232,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x10 001-1.tif,52,58750.73885,551.133,6.082,0.839,0.956,53.8314932187445,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x10 002-1.tif,53,62524.7868,575.47,6.473,0.795,0.944,54.8692794583028,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x10 003-1.tif,55,61939.438,549.352,6.412,0.85,0.961,56.9362608682372,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x10 004-1.tif,75,65086.3274,423.326,6.738,0.771,0.91,77.6430350562383,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 1,Struthanthus rhynchophyllus - VSB25 x10 005-1.tif,44,48497.752,537.669,5.02,0.834,0.947,45.5443790466824,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x10 001-1.tif,87,82709.9273,463.751,8.562,0.806,0.942,90.0610149611388,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x10 002-1.tif,106,84965.9933,391.008,8.796,0.817,0.939,109.735196846101,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x10 003-1.tif,96,89316.85795,453.846,9.246,0.792,0.933,99.3783279408342,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x10 004-1.tif,52,66274.942,621.716,6.861,0.783,0.944,53.8321104830239,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x10 005-1.tif,66,86716.066,640.917,8.977,0.756,0.922,68.3243633307812,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x10 006-1.tif,75,71499.5638,465.038,7.402,0.752,0.919,77.643830325018,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x10 007-1.tif,87,95369.157,534.73,9.873,0.775,0.94,90.0659109317701,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x10 008-1.tif,138,89923.537,317.863,9.309,0.693,0.884,142.8593717349,Parasite
Struthanthus rhynchophyllus,Struthanthus rhynchophyllus 2,Struthanthus rhynchophyllus - VSB26 x10 009-1.tif,101,100349.74065,484.664,10.388,0.789,0.943,104.553135185407,Parasite
