ssp,indiv,pic,Count,Total.Area,Average.Size,X.Area,Circ.,Solidity,vdensity,parasitism
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 002-1.tif,56,412173.99425,3590.366,8.976,0.784,0.944,12.1952381036228,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 003-1.tif,51,355961.9508,3404.705,7.752,0.724,0.941,11.1065803272365,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 004-1.tif,76,497295.4821,3191.884,10.83,0.732,0.935,16.5511256310688,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 005-1.tif,86,540700.49085,3066.934,11.775,0.703,0.921,18.7284830906678,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 006-1.tif,102,509673.5666,2437.463,11.099,0.745,0.941,22.2122172737377,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 007-1.tif,75,381844.9556,2483.544,8.316,0.738,0.929,16.3338546405561,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 008-1.tif,72,417528.9858,2828.787,9.093,0.752,0.945,15.6802526834294,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 009-1.tif,71,434298.6377,2983.845,9.458,0.762,0.947,15.4621254065242,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 010-1.tif,77,398556.736,2524.908,8.68,0.726,0.936,16.7695070646102,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 1,Vochysia thyrsoidea 1 - GC 4842 x5 011-1.tif,85,341415.31685,1959.342,7.435,0.756,0.929,18.510446626437,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 001-1.tif,46,273171.36215,2896.833,7.051,0.761,0.94,11.8733529549814,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 002-1.tif,53,258850.6546,2382.427,6.682,0.734,0.929,13.6814797917842,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 003-1.tif,59,250056.33705,2067.436,6.455,0.735,0.928,15.2303678640165,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 004-1.tif,29,177268.81155,2981.813,4.576,0.752,0.938,7.48603202332464,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 005-1.tif,43,234674.83445,2662.222,6.058,0.753,0.934,11.1002102381583,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 006-1.tif,55,273948.13585,2429.695,7.071,0.733,0.932,14.1963002884949,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 007-1.tif,92,389797.02245,2066.792,10.062,0.79,0.949,23.7483599587717,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 008-1.tif,36,166305.00155,2253.455,4.293,0.796,0.952,9.29304582301061,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 009-1.tif,119,416891.73305,1708.923,10.761,0.815,0.949,30.7168240212241,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 2,Vochysia thyrsoidea 2- GC 4842 x5 010-1.tif,45,201968.18735,2189.357,5.213,0.749,0.933,11.6149480310717,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 002-1.tif,29,147795.21125,2486.042,13.032,0.744,0.947,25.5710585480827,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 003-1.tif,22,109489.1839,2427.698,9.654,0.715,0.937,19.3980804710336,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 004-1.tif,20,75654.7662,1845.238,6.671,0.76,0.956,17.6353727202451,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 005-1.tif,29,66256.7913,1114.496,5.842,0.767,0.948,25.5699071258828,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 006-1.tif,21,48287.5901,1121.663,4.258,0.803,0.954,18.5178013263495,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 007-1.tif,11,74442.3716,3301.214,6.564,0.723,0.963,9.69931484557916,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 008-1.tif,33,64180.9613,948.721,5.659,0.793,0.958,29.096946542619,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 009-1.tif,26,91395.4165,1714.736,8.059,0.723,0.957,22.9260949863936,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 010-1.tif,16,107671.02045,3282.653,9.494,0.706,0.963,14.1081601497908,Host
Vochysia thyrsoidea,Vochysia thyrsoidea 3,Vochysia thyrsoidea 3 - GC4842 x10 011-1.tif,18,89516.6735,2425.926,7.893,0.725,0.957,15.871233195456,Host
