PairTested,ParasiteMean,HostMean,EstimatedDifference,REVariance,PValue,DeltaAIC
Parasite x Host,23.422 ± 3.861,38.451 ± 5.475,15.029,27.397774769443,0.00124070267980415,-8.42872644000636
Psittacanthus robustus x Vochysia thyrsoidea,30.391 ± 1.616,41.658 ± 2.302,11.267,0.424203942390975,5.20210216850962e-05,-14.3729997601534
Phoradendron perrotettii x Tapirira guianensis,21.486 ± 1.616,30.325 ± 2.302,8.84,0.965722445455294,0.00544837317862081,-5.72425849604559
Struthanthus rhynchophyllus x Tipuana tipu,18.386 ± 1.616,43.52 ± 2.302,25.134,0.844524999423301,2.52222388000149e-05,-15.7476988854714
