Parasite,Host,ParasiteMean,HostMean,MeanDifference,pvalue
Psittacanthus robustus,Vochysia thyrsoidea,612.842857142857,339.129032258065,-273.713824884793,9.08799342670147e-15
Phoradendron perrotettii,Tapirira guianensis,463.766666666667,318.248275862069,-145.518390804598,7.46708709877535e-13
Struthanthus rhynchophyllus,Tipuana tipu,763.546153846154,352.657142857143,-410.889010989011,2.01622432231408e-23
Viscum album,Populus nigra,525.32,222.338461538462,-302.981538461539,1.21646244635121e-21
