"PairTested","RelDiff","DeltaAIC","p_value"
"Parasite vs Host",-0.324365723938603,-9.77839939220985,0.000599219854976367
"Psittacanthus robustus vs Vochysia thyrsoidea",-0.174895592425133,-6.50476959879626,0.00354216760569566
"Phoradendron perrotettii vs Tapirira guianensis",-0.364051734868455,-13.437999095079,8.52566065827939e-05
"Struthanthus rhynchophyllus vs Tipuana tipu",-0.352161173062239,-3.68109469804017,0.0171486650667418
"Viscum album vs Populus nigra",-0.406078897222138,-8.78121147096874,0.00102535550604304
