Group,Lower,Upper,Estimate
Parasite,1.88629583333333,2.08621875,1.98508333333333
Host,2.05842583333333,2.382975,2.228975
Psittacanthus robustus,1.944425,2.05695,2.011625
Vochysia thyrsoidea,2.110325,2.5697,2.28474166666667
Phoradendron perrotettii,1.839425,2.0034,1.938125
Tapirira guianensis,1.698375,2.19485,1.99651666666667
Struthanthus rhynchophyllus,1.749125,2.348675,2.08751666666667
Tipuana tipu,2.268875,2.49235,2.40566666666667
Viscum album,1.6765,2.1315,1.90306666666667
