Parasite,Host,ParasiteMean,HostMean,MeanDifference,pvalue
P. robustus,V. thyrsoidea,6.30715,4.28822867132867,-2.01892132867133,2.57041002260025e-87
P. perrotettii,T. guianensis,2.94199047619048,5.22215637583893,2.28016589964845,4.11889122538356e-60
S. rhynchophyllus,T. tipu,3.29411081081081,5.12296824324324,1.82885743243243,1.25212313158448e-78
