"PairTested","RelDiff","DeltaAIC","p_value"
"Parasite vs Host",0.397862630594526,-4.50796846568255,0.0107392130424559
"Psittacanthus robustus vs Vochysia thyrsoidea",0.0441394731662239,-11.7157431922052,0.000212664323080186
"Phoradendron perrotettii vs Tapirira guianensis",0.0841525313717264,-8.02977911362882,0.00154029507154911
"Struthanthus rhynchophyllus vs Tipuana tipu",0.167462528579317,-8.33146313380576,0.00130781491814214
"Viscum album vs Populus nigra",0.92968644096418,-16.4967538040815,1.70193931466147e-05
