HydraulicDiameter,VesselDensity,Kmax
Parasite|Host|Psittacanthus robustus|Vochysia thyrsoidea|Phoradendron perrotettii|Tapirira guianensis|Struthanthus rhynchophyllus|Tipuana tipu,Psittacanthus robustus|Vochysia thyrsoidea|Phoradendron perrotettii|Tapirira guianensis|Struthanthus rhynchophyllus|Tipuana tipu,Parasite|Host|Psittacanthus robustus|Vochysia thyrsoidea|Phoradendron perrotettii|Tapirira guianensis|Struthanthus rhynchophyllus|Tipuana tipu
31.553635632718|50.7437226265269|26865.8820180817|79466.9782999728|15255.3918851711|45139.6167595938|15144.5767470826|134166.529966534,26865.8820180817|79466.9782999728|15255.3918851711|45139.6167595938|15144.5767470826|134166.529966534,18743.5085713295|123758.538797711|26865.8820180817|79466.9782999728|15255.3918851711|45139.6167595938|15144.5767470826|134166.529966534
33.4367626392681|54.923151316635|29121.3944926607|102992.886216765|18876.2500081403|97781.0764899269|16998.1894362081|257319.5088414,29121.3944926607|102992.886216765|18876.2500081403|97781.0764899269|16998.1894362081|257319.5088414,21953.0931567407|148650.913326663|29121.3944926607|102992.886216765|18876.2500081403|97781.0764899269|16998.1894362081|257319.5088414
39.4353155193189|57.9996515387048|31758.1603378681|128754.450783924|23085.4735044148|139848.223581383|18622.0384727113|426238.437607365,31758.1603378681|128754.450783924|23085.4735044148|139848.223581383|18622.0384727113|426238.437607365,26273.9966026874|283509.106102452|31758.1603378681|128754.450783924|23085.4735044148|139848.223581383|18622.0384727113|426238.437607365
