"Label","PitOpening","PitDiameter","Wthickness","VesselDiameter","TopVesselDiameter","PitFraction","HydraulicDiameter","VesselDensity","VesselFraction","Kmax"
"Median diff",-1.945515,-2.37583333333333,-0.578554166666667,-23.5407694766139,-107.651634202304,-11.2643333333333,-71.7266873293345,31.7656757163965,-9.39333333333333,-283.16600721475
"p-value",0.0166066666666667,0.0206133333333333,0.175446666666667,0.135106666666667,0.0197533333333333,0.0419533333333333,0.0220533333333333,0.0606933333333333,0.1013,0.0977666666666667
"Effect size",-91.5442413367725,-46.6245829790017,-13.3434107461866,-41.9483907254679,-140.257845507192,-19.6998933187205,-121.22789230169,46.9550825991709,-135.774512165743,-1398.67126122308
