ssp,Lower,Mean,Upper
Parasite,121.18709247992,183.031856345502,249.001430345513
Host,90.9109817403267,152.997021401834,238.887653167451
Psittacanthus robustus,58.0385597189817,70.4501181063518,83.5195779579508
Vochysia thyrsoidea,53.4565378886423,67.0229238525653,79.3138343720769
Phoradendron perrotettii,168.651662635482,183.363890837559,195.883486115686
Tapirira guianensis,144.90305015655,266.242338536817,455.256242719304
Struthanthus rhynchophyllus,244.694760153033,295.329799151289,376.796120490269
Tipuana tipu,71.4588425914967,125.568674896462,166.744935294269
