ssp,Lower,Mean,Upper
Parasite,20.2126027659464,23.4057338474876,26.9061861236732
Host,32.9491672504131,38.4462059216445,43.2376029222486
Psittacanthus robustus,29.242744087377,30.3526937873943,31.4721502364671
Vochysia thyrsoidea,38.9995203412782,41.5644170873548,45.7423228660783
Phoradendron perrotettii,20.6579280645207,21.5936661906927,22.7578616444377
Tapirira guianensis,20.6446125890441,30.3189078316043,36.8976610597444
Struthanthus rhynchophyllus,17.4917441067289,18.2661532438473,19.1068337116565
Tipuana tipu,38.0518379702519,43.4309650440497,50.6088759673844
