PairTested,ParasiteMean,HostMean,EstimatedDifference,REVariance,PValue,DeltaAIC
Parasite x Host,5.902 ± 1.555,12.18 ± 2.214,6.279,13.9166621510154,0.00295921004171595,-6.83244897782424
Psittacanthus robustus x Vochysia thyrsoidea,4.764 ± 1.616,7.955 ± 2.302,3.19,0.399084051832736,0.00202762290892857,-7.52435995738748
Phoradendron perrotettii x Tapirira guianensis,6.049 ± 1.616,14.446 ± 2.302,8.397,0.516418300836761,5.20042145100222e-05,-14.3736122107546
Struthanthus rhynchophyllus x Tipuana tipu,6.908 ± 1.616,14.241 ± 2.302,7.333,0.916065287292154,0.00603882949846001,-5.53867919382077
