ssp,mean_pcavg,mean_peavg,means_difference,p_value
Psittacanthus robustus,663.103448275862,562.396551724138,100.706896551724,0.003694094382484
Vochysia thyrsoidea,363.505376344086,291.944444444444,71.5609318996416,4.78719851788516e-05
Phoradendron perrotettii,498.344444444445,411.9,86.4444444444445,2.08290376116482e-05
Tapirira guianensis,325.535714285714,296.964285714286,28.5714285714287,0.00880623108073083
Tipuana tipu,384.226190476191,305.303571428571,78.922619047619,2.50152149504217e-05
Struthanthus rhynchophyllus,835.814814814815,679.018518518519,156.796296296296,9.30177577126288e-07
Viscum album,577.681818181818,470.98275862069,106.699059561128,4.9469298855533e-06
Populus nigra,240.950617283951,202.615384615385,38.3352326685659,0.0053972887778808
