"Label","PitOpening","PitDiameter","Wthickness","VesselDiameter","TopVesselDiameter","PitFraction","HydraulicDiameter","VesselDensity","VesselFraction","Kmax"
"Median diff",-1.17327791666667,-1.671625,0.299391458333333,-20.2007774336625,-60.2037671699785,-12.6911666666667,-38.7486787121876,-1.0531895008822,-7.777875,-130.46153680259
"p-value",0.002146,0.02654,0.49714,0.096214,0.002952,0.029548,0.009574,0.965668,0.00075,0.02383
"Effect size",-49.0188883084255,-29.8513348611566,7.35048054513527,-32.8122382098859,-73.2951833643008,-22.4977471821311,-59.8803332838058,-1.46560186374832,-138.222139948167,-565.383967666772
