"","PairTested","ParasiteMean","HostMean","EstimatedDifference","REVariance","RelDiff","DeltaAIC"
"(Intercept)","Parasite vs Host",2.01926577328659,2.36499195200862,0.345726178722027,18.0885607914435,0.171213806174369,-3.7227241895107
"(Intercept)1","Psittacanthus robustus vs Vochysia thyrsoidea",2.08905277777778,2.38271833333333,0.293665555555556,12.7111241115138,0.140573545426622,-1.10475879797843
"(Intercept)2","Phoradendron perrotettii vs Tapirira guianensis",1.95266555555555,2.0192346546948,0.0665690991392487,21.7928314521145,0.0340913982683067,1.75884059556188
"(Intercept)3","Struthanthus rhynchophyllus vs Tipuana tipu",2.07122232543553,2.43703444444444,0.36581211900891,12.8580100623694,0.176616539188755,-2.98131338519886
"(Intercept)4","Viscum album vs Populus nigra",1.96894833333333,2.84985,0.880901666666668,11.5682701503157,0.44739704529237,-4.21520242952852
