Groups,Observed_diff,Pvalue
Parasite x Hosts,-0.348416666666667,0.013221
P. robustus x V. Thyrsoidea,-0.390166666666667,0.094605
P. perrotettii x T. guianensis,-0.0834166666666669,0.65838
S. rhynchophyllus x T. tipu,-0.4545,0.11614
V. album x P. nigra,,
