"PairTested","RelDiff","DeltaAIC","p_value"
"Parasite vs Host",0.299076694814129,0.0403604229686607,0.153173349384546
"Psittacanthus robustus vs Vochysia thyrsoidea",-0.289010996037676,-9.25250759974824,0.000795155205430131
"Phoradendron perrotettii vs Tapirira guianensis",0.70008346358711,-8.05628836703113,0.00151828801594217
"Struthanthus rhynchophyllus vs Tipuana tipu",0.488286089166744,-8.93463476379065,0.000943830893936784
"Viscum album vs Populus nigra",1.03434365460097,-17.305765087099,1.11369576663447e-05
