"Label","PitOpening","PitDiameter","Wthickness","VesselDiameter","TopVesselDiameter","PitFraction","HydraulicDiameter","VesselDensity","VesselFraction","Kmax"
"Median diff",-1.34682166666667,2.65633333333333,-0.557938333333334,-19.1538519146345,-51.264553843126,10.0906666666667,-33.6599194082201,-1.03851930957287,-3.18833333333333,-89.5870121292758
"p-value",0.06598,0.02246,0.0937066666666667,0.08272,0.01766,0.0566,0.0221466666666667,0.646946666666667,0.0291533333333333,0.0422933333333333
"Effect size",-48.602390986497,28.775705490458,-13.5769175003625,-20.4898578690146,-41.6756793351686,13.8766903506761,-34.6165365496789,-5.98103444427327,-63.9799331103679,-228.878301426554
