"Label","PitOpening","PitDiameter","Wthickness","VesselDiameter","TopVesselDiameter","PitFraction","HydraulicDiameter","VesselDensity","VesselFraction","Kmax"
"Median diff",-1.202005,-4.06233333333333,2.54069333333333,-14.9967812160395,-34.0623512000413,-43.7415,-20.7567347157306,-15.390713497198,-9.5615,-26.2567714108718
"p-value",0.0208066666666667,0.01522,0.0153133333333333,0.0208533333333333,0.015,0.0164333333333333,0.0156066666666667,0.47484,0.0449466666666667,0.0432466666666667
"Effect size",-82.9639352258204,-109.639692321533,65.3522054208665,-52.6230555539444,-87.6139252995524,-149.006148762583,-68.4681494651878,-9.61460813828239,-237.258064516129,-746.360313428392
