ssp,Lower,Mean,Upper
Parasite,5.07655555555556,5.96711111111111,6.95188888888889
Host,9.02305555555556,11.8283888888889,14.8593333333333
Psittacanthus robustus,4.0915,4.669160825,5.681
Vochysia thyrsoidea,6.5685,7.61085555166667,8.976
Phoradendron perrotettii,5.18,6.15390364,7.532
Tapirira guianensis,12.773,14.1476216966667,14.8415
Struthanthus rhynchophyllus,5.7435,7.07973806,8.8865
Tipuana tipu,6.9565,13.72903804,20.722
