Parasite,Host,ParasiteMean,HostMean,MeanDifference,pvalue
P. robustus,V. thyrsoidea,832.103448275862,1122.29032258065,290.186874304783,0.00133870431058544
P. perrotettii,T. guianensis,529.071428571429,992.766666666667,463.695238095238,5.69492895503336e-10
S. rhynchophyllus,T. tipu,486.862068965517,778.9,292.037931034483,0.000134566825815827
V. album,P. nigra,268.433333333333,671.103448275862,402.670114942529,6.35682147521248e-12
