"Label","PitOpening","PitDiameter","Wthickness","VesselDiameter","TopVesselDiameter","PitFraction","HydraulicDiameter","VesselDensity","VesselFraction","Kmax"
"Median diff",-0.19877,-2.90466666666667,-0.206634999999999,-23.111707127362,-47.8365294344428,-5.84950000000001,-28.8513733954654,-19.5492009131544,-8.96833333333333,-0.00012283635645546
"p-value",0.525413333333333,0.0239266666666667,0.42788,0.1626,0.0331066666666667,0.15,0.113646666666667,0.21352,0.0157333333333333,0.0374533333333333
"Effect size",-6.15589016829051,-66.5089299343612,-5.21896162528215,-33.9067869921231,-53.2011537281703,-8.81061581678378,-40.0038344272866,-46.1598431515988,-136.3659401926,-417.891422183861
