Parasite,Host,ParasiteMean,HostMean,MeanDifference,pvalue
P. robustus,V. thyrsoidea,2.0349,2.93877852348993,0.903878523489933,6.31628021042285e-28
P. perrotettii,T. guianensis,2.26291216216216,2.4192027972028,0.156290635040635,0.00580029224305791
S. rhynchophyllus,T. tipu,1.52328187919463,2.82866197183099,1.30538009263635,3.2733582018353e-64
