Parasite,Host,ParasiteMean,HostMean,MeanDifference,pvalue
Psittacanthus robustus,Vochysia thyrsoidea,2.91502325581395,3.29432142857143,0.379298172757475,2.01946516298883e-05
Phoradendron perrotettii,Tapirira guianensis,2.76432954545455,2.8715,0.107170454545455,0.145979731237303
Struthanthus rhynchophyllus,Tipuana tipu,3.01659195402299,3.50011764705882,0.483525693035835,3.66692311167836e-06
