ssp,indiv,Count,Total Area,Average Size,PitFraction
Phoradendron perrottetti,Phoradendron perrottetti 1,45,224.046,4.979,72.532
Phoradendron perrottetti,Phoradendron perrottetti 1,14,82.286,5.878,63.165
Phoradendron perrottetti,Phoradendron perrottetti 1,50,213.865,4.277,69.236
Phoradendron perrottetti,Phoradendron perrottetti 1,48,203.447,4.238,65.863
Phoradendron perrottetti,Phoradendron perrottetti 1,48,202.905,4.227,65.688
Phoradendron perrottetti,Phoradendron perrottetti 1,34,196.036,5.766,67.289
Phoradendron perrottetti,Phoradendron perrottetti 1,37,189.899,5.132,66.831
Phoradendron perrottetti,Phoradendron perrottetti 1,44,207.558,4.717,67.194
Phoradendron perrottetti,Phoradendron perrottetti 1,37,233.955,6.323,75.74
Phoradendron perrottetti,Phoradendron perrottetti 1,41,210.44,5.133,68.127
Phoradendron perrottetti,Phoradendron perrottetti 1,45,203.939,4.532,66.023
Phoradendron perrottetti,Phoradendron perrottetti 2,51,214.468,4.205,69.431
Phoradendron perrottetti,Phoradendron perrottetti 2,42,232.62,5.539,75.308
Phoradendron perrottetti,Phoradendron perrottetti 2,16,73.122,4.57,58.238
Phoradendron perrottetti,Phoradendron perrottetti 2,38,167.612,4.411,65.216
Phoradendron perrottetti,Phoradendron perrottetti 2,41,180.817,4.41,69.067
Phoradendron perrottetti,Phoradendron perrottetti 2,42,194.572,4.633,62.99
Phoradendron perrottetti,Phoradendron perrottetti 2,26,126.322,4.859,61.039
Phoradendron perrottetti,Phoradendron perrottetti 2,14,56.691,4.049,50.906
Phoradendron perrottetti,Phoradendron perrottetti 2,35,159.969,4.571,58.774
Phoradendron perrottetti,Phoradendron perrottetti 2,38,177.293,4.666,73.067
Phoradendron perrottetti,Phoradendron perrottetti 3,49,194.22,3.964,62.876
Phoradendron perrottetti,Phoradendron perrottetti 3,35,186.466,5.328,61.644
Phoradendron perrottetti,Phoradendron perrottetti 3,40,193.046,4.826,62.496
Phoradendron perrottetti,Phoradendron perrottetti 3,46,235.316,5.116,76.181
Phoradendron perrottetti,Phoradendron perrottetti 3,45,224.725,4.994,72.752
Phoradendron perrottetti,Phoradendron perrottetti 3,36,189.961,5.277,61.497
Phoradendron perrottetti,Phoradendron perrottetti 3,54,213.575,3.955,69.142
Phoradendron perrottetti,Phoradendron perrottetti 3,43,210.325,4.891,68.09
Phoradendron perrottetti,Phoradendron perrottetti 3,38,209.014,5.5,67.665
Phoradendron perrottetti,Phoradendron perrottetti 3,50,229.874,4.597,74.419
Psittacanthus robustus,Psittacanthus robustus 1,15,230.138,15.343,74.504
Psittacanthus robustus,Psittacanthus robustus 1,15,229.849,15.323,74.411
Psittacanthus robustus,Psittacanthus robustus 1,10,158.419,15.842,51.286
Psittacanthus robustus,Psittacanthus robustus 1,16,204.183,12.761,66.102
Psittacanthus robustus,Psittacanthus robustus 1,13,220.515,16.963,71.389
Psittacanthus robustus,Psittacanthus robustus 1,13,200.531,15.425,64.919
Psittacanthus robustus,Psittacanthus robustus 1,13,208.786,16.06,67.592
Psittacanthus robustus,Psittacanthus robustus 1,17,237.061,13.945,76.746
Psittacanthus robustus,Psittacanthus robustus 1,10,220.064,22.006,71.243
Psittacanthus robustus,Psittacanthus robustus 1,14,194.369,13.884,62.925
