ssp;label;pic;Count;Total Area;Average Size;%Area;Circ.;Solidity
Vochysia thyrsoidea;Vochysia thyrsoidea 3;Vochysia thyrsoidea 3 - GC4842 x10 006-1.tif;21;23554922;1.121.663;4.258;0.803;0.954
Vochysia thyrsoidea;Vochysia thyrsoidea 3;Vochysia thyrsoidea 3 - GC4842 x10 007-1.tif;11;36313352;3.301.214;6.564;0.723;0.963
Vochysia thyrsoidea;Vochysia thyrsoidea 3;Vochysia thyrsoidea 3 - GC4842 x10 008-1.tif;33;31307786;948.721;5.659;0.793;0.958
Vochysia thyrsoidea;Vochysia thyrsoidea 3;Vochysia thyrsoidea 3 - GC4842 x10 009-1.tif;26;44583.13;1.714.736;8.059;0.723;0.957
Vochysia thyrsoidea;Vochysia thyrsoidea 3;Vochysia thyrsoidea 3 - GC4842 x10 010-1.tif;16;52522449;3.282.653;9.494;0.706;0.963
Vochysia thyrsoidea;Vochysia thyrsoidea 3;Vochysia thyrsoidea 3 - GC4842 x10 011-1.tif;18;43666.67;2.425.926;7.893;0.725;0.957
Populus nigra;Populus nigra 1;Populus nigra - VSB x10 006-1.tif;247;234259255;948.418;21.719;0.728;0.940
Populus nigra;Populus nigra 1;Populus nigra - VSB x10 007-1.tif;268;244157928;911.037;22.636;0.714;0.936
Populus nigra;Populus nigra 1;Populus nigra - VSB x10 008-1.tif;285;224426090;787.460;20.807;0.718;0.933
Populus nigra;Populus nigra 1;Populus nigra - VSB x10 009-1.tif;294;255479652;868.978;23.686;0.693;0.934
Populus nigra;Populus nigra 1;Populus nigra - VSB x10 010-1.tif;226;238895304;1.057.059;22.149;0.707;0.943
Populus nigra;Populus nigra 1;Populus nigra - VSB x10 011-1.tif;339;334496548;986.715;31.012;0.693;0.927
Populus nigra;Populus nigra 1;Populus nigra - VSB x10 012-1.tif;310;245145745;790.793;22.728;0.685;0.931
Populus nigra;Populus nigra 1;Populus nigra - VSB x10 013-1.tif;276;297546717;1.078.068;27.586;0.729;0.942
Populus nigra;Populus nigra 1;Populus nigra - VSB x10 014-1.tif;282;233619012;828.436;21.659;0.686;0.924
Populus nigra;Populus nigra 1;Populus nigra - VSB x10 015-1.tif;243;279550863;1.150.415;25.918;0.710;0.935
Populus nigra;Populus nigra 1;Populus nigra - VSB x10 016-1.tif;229;234981267;1.026.119;21.859;0.723;0.940
