ssp;label;pic;Count;Total Area;Average Size;%Area;Circ.;Solidity
Phoradendeon perrotettii;Phoradendron Perrottettii 3;Phoradendron Perrottettii 3- GC4841 x10 006.tif;61;48187636;789.961;8.682;0.758;0.955
Phoradendeon perrotettii;Phoradendron Perrottettii 3;Phoradendron Perrottettii 3- GC4841 x10 007.tif;46;27770783;603.713;5.003;0.742;0.945
Phoradendeon perrotettii;Phoradendron Perrottettii 3;Phoradendron Perrottettii 3- GC4841 x10 008.tif;44;41636611;946.287;7.501;0.716;0.949
Phoradendeon perrotettii;Phoradendron Perrottettii 3;Phoradendron Perrottettii 3- GC4841 x10 009.tif;54;42248051;782.371;7.611;0.754;0.957
Phoradendeon perrotettii;Phoradendron Perrottettii 3;Phoradendron Perrottettii 3- GC4841 x10 010.tif;57;48151424;844.762;8.675;0.801;0.962
Phoradendeon perrotettii;Phoradendron Perrottettii 3;Phoradendron Perrottettii 3- GC4841 x10 011.tif;48;36163619;753.409;6.515;0.795;0.96
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 006.tif;102;136355484;1.336.818;6.132;0.805;0.947
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 007.tif;85;119162836;1.401.916;5.359;0.797;0.946
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 008.tif;72;97008184;1.347.336;4.362;0.805;0.945
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 009.tif;93;118189699;1.270.857;5.315;0.786;0.942
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 010.tif;111;133391234;1.201.723;5.998;0.793;0.941
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 011.tif;95;126330176;1.329.791;5.681;0.788;0.942
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 001.tif;93;142152792;1.528.525;6.392;0.784;0.943
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 002.tif;81;120278789;1.484.923;5.409;0.795;0.945
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 003.tif;91;129369154;1.421.639;5.818;0.809;0.945
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 004.tif;72;86673995;1.203.805;3.898;0.827;0.946
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x5 005.tif;83;126775229;1.527.412;5.701;0.761;0.936
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 001-1.tif;66;84226206;1.276.155;3.838;0.788;0.945
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 002-1.tif;38;62134658;1.635.123;4.419;0.806;0.947
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 003-1.tif;74;88748.14;1.199.299;4.044;0.801;0.945
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 004-1.tif;67;80323693;1.198.861;3.661;0.811;0.946
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 005-1.tif;54;70319972;1.302.222;3.205;0.771;0.946
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 006-1.tif;48;71146973;1.482.229;5.149;0.79;0.951
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 007-1.tif;79;110206982;1.395.025;5.405;0.775;0.947
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 008-1.tif;77;94819455;1.231.421;5.34;0.79;0.933
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 009-1.tif;67;90813981;1.355.433;7.799;0.787;0.944
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x5 010-1.tif;74;75663925;1.022.485;3.597;0.811;0.943
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 006-1.tif;64;80810261;1262.66;3.619;0.796;0.948
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 007-1.tif;63;95138298;1.510.132;4.261;0.801;0.956
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 010-1.tif;63;90184597;1.431.502;4.039;0.784;0.952
Psittacanthus robustus;Psittacanthus robustus 3;Psittacanthus robustus 3 - GC 4842 x5 011-1.tif;66;92542712;1.402.162;4.144;0.773;0.95
