"Label","PitOpening","PitDiameter","Wthickness","VesselDiameter","TopVesselDiameter","PitFraction","HydraulicDiameter","VesselDensity","VesselFraction","Kmax","CWR","pcd","Tpm"
"Median diff",-1.945515,-2.37866666666667,-0.578554166666667,-23.5407694766139,-107.651634202304,-11.6848333333333,-71.7266873293345,31.7656757163965,-9.39333333333333,-283.16600721475,0.00301701145992805,-275,430.1
"p-value",0.0168466666666667,0.02164,0.174886666666667,0.13444,0.02014,0.04324,0.02236,0.0592266666666667,0.0999133333333333,0.0961133333333333,0.102506666666667,0.00226,4e-05
"Effect size",-47.7927400468384,-31.8244659501405,-11.7725509214355,-29.5518607228153,-58.3780501365536,-17.0721076110884,-54.7977431961294,88.5194753803821,-57.5865944620415,-93.3274225917705,79.4774548874197,-35.3016688061617,124.414231993058
