"Label","PitOpening","PitDiameter","Wthickness","VesselDiameter","TopVesselDiameter","PitFraction","HydraulicDiameter","VesselDensity","VesselFraction","Kmax","CWR","pcd","Tpm"
"Median diff",-1.17345666666667,-1.67233333333333,0.299391458333333,-20.2007774336625,-60.2037671699785,-12.7962916666667,-38.7486787121876,-1.0531895008822,-7.777875,-130.46153680259,0.00588925937233874,-366.5,255.3
"p-value",0.002088,0.026392,0.496576,0.096118,0.003214,0.02843,0.009758,0.965666,0.000702,0.023812,0.022008,2e-06,2e-06
"Effect size",-32.8977756502381,-22.9963559691059,7.933641305842,-24.7057339384884,-42.2949916676102,-18.5179758424744,-37.4532202015813,-1.44443223794837,-58.0223735620215,-84.9710836360156,250.470072924742,-42.0298165137615,81.5394442670073
