"Label","PitOpening","PitDiameter","Wthickness","VesselDiameter","TopVesselDiameter","PitFraction","HydraulicDiameter","VesselDensity","VesselFraction","Kmax","CWR","pcd","Tpm"
"Median diff",-1.202005,-4.06233333333333,2.54069333333333,-14.9967812160395,-34.0623512000413,-43.7415,-20.7567347157306,-15.390713497198,-9.5615,-26.2567714108718,0.0191561013990543,-356,320.6
"p-value",0.0205933333333333,0.01556,0.0154866666666667,0.0220066666666667,0.01558,0.0166333333333333,0.0158333333333333,0.476106666666667,0.04524,0.0435066666666667,0.0197133333333333,0.000373333333333333,3.33333333333333e-05
"Effect size",-45.3444199937127,-52.2991095376033,188.618658747835,-34.4790997421388,-46.6990524075781,-59.8403491251351,-40.6415988319122,-8.77128359219535,-70.3491152558584,-88.1847011948227,2094.31147437568,-56.1514195583596,148.701298701299
