"Label","PitOpening","PitDiameter","Wthickness","VesselDiameter","TopVesselDiameter","PitFraction","HydraulicDiameter","VesselDensity","VesselFraction","Kmax","CWR","pcd","Tpm"
"Median diff",-1.34682166666667,2.65633333333333,-0.557938333333334,-19.1538519146345,-51.264553843126,10.0906666666667,-33.6599194082201,-1.03851930957287,-3.18833333333333,-89.5870121292758,0.00051400554719362,-287,310.3
"p-value",0.0648,0.02258,0.0925666666666667,0.08216,0.0175666666666667,0.057,0.0223133333333333,0.6486,0.0291933333333333,0.0426266666666667,0.209433333333333,0.0267866666666667,2.66666666666667e-05
"Effect size",-32.7063317513601,40.4015310907754,-11.953940817525,-17.0054627264058,-29.4162551616037,16.1125836979316,-25.7149213885056,-5.6434950608245,-39.0169284111768,-69.5936157641789,27.2401897135968,-26.7225325884544,96.6666666666667
